Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,705,705,28.341,1240.08595,1240.08595,20000,20840447,22806527,24510463,20840447,22806527,24510463
2,911,795,50.293,2369.09685,1804.5914,40000,38010879,42729471,46661631,42729471,45088767,46923775
3,921,833,71.995,2365.5269,1991.5699,60000,40370175,44040191,46661631,42729471,45088767,46923775
4,930,855,93.491,2386.96965,2090.4198375,80000,41156607,44564479,46923775,43253759,45613055,47448063
5,931,869,114.967,2376.62115,2147.6601,100000,41680895,44564479,46923775,42991615,45350911,47185919
6,935,880,136.349,2349.1549,2181.242566666667,120000,41943039,44564479,46923775,42467327,44826623,46661631
7,931,887,157.823,2385.7704,2210.4608285714285,140000,41943039,44826623,46923775,42991615,45350911,47448063
8,936,893,179.17,2369.02195,2230.28096875,160000,42205183,44826623,46923775,42729471,45088767,46923775
