Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,16,16,6.221,678.35,678.35,100,56063,61439,66047,56063,61439,66047
2,54,24,8.054,2251.78,1465.065,200,171007,193535,216063,193535,206847,219135
3,106,33,8.992,3410.35,2113.4933333333333,300,222207,278527,325631,299007,317439,333823
4,2631,44,9.031,4221.64,2640.53,400,294911,337919,401407,376831,397311,413695
5,106,50,9.968,5013.39,3115.102,500,337919,397311,471039,446463,471039,491519
6,55,50,11.779,5614.51,3531.67,600,387071,446463,522239,499711,528383,548863
7,106,55,12.721,7388.84,4082.694285714286,700,442367,522239,679935,659455,696319,724991
8,100,58,13.714,7493.66,4509.065,800,491519,589823,708607,663551,700415,733183
9,98,61,14.733,8407.65,4942.241111111111,900,544767,651263,753663,745471,786431,823295
10,100,63,15.728,9390.32,5387.049,1000,598015,700415,831487,827391,880639,921599
11,100,65,16.72,10279.62,5831.828181818182,1100,651263,745471,921599,909311,962559,1007615
12,102,67,17.698,11251.3,6283.450833333333,1200,696319,815103,995327,995327,1056767,1105919
13,100,69,18.69,12275.22,6744.356153846154,1300,737279,880639,1089535,1089535,1155071,1204223
14,102,71,19.666,13229.43,7207.575714285715,1400,794623,946175,1171455,1171455,1245183,1302527
15,99,72,20.673,14204.54,7674.04,1500,847871,1007615,1261567,1261567,1335295,1392639
16,93,73,21.747,15167.4,8142.375,1600,905215,1081343,1335295,1343487,1425407,1490943
17,101,74,22.735,16195.34,8616.078823529411,1700,958463,1155071,1425407,1441791,1523711,1589247
18,100,75,23.734,17105.12,9087.692222222222,1800,1019903,1220607,1507327,1523711,1605631,1679359
19,100,76,24.732,17961.24,9554.72105263158,1900,1081343,1286143,1589247,1597439,1687551,1761279
20,103,77,25.7,18882.72,10021.121,2000,1130495,1351679,1662975,1679359,1777663,1851391
21,99,78,26.706,19857.04,10489.498095238096,2100,1187839,1417215,1744895,1761279,1867775,1949695
22,101,79,27.69,20762.18,10956.438181818181,2200,1245183,1482751,1826815,1843199,1949695,2039807
23,100,80,28.687,21723.78,11424.583478260869,2300,1294335,1548287,1908735,1933311,2039807,2129919
24,100,80,29.683,22619.04,11891.019166666667,2400,1351679,1613823,1974271,2007039,2129919,2228223
25,99,81,30.687,23554.54,12357.56,2500,1409023,1679359,2056191,2088959,2211839,2310143
26,100,82,31.688,24551.0,12826.538461538461,2600,1458175,1744895,2146303,2179071,2310143,2408447
27,99,82,32.698,25429.94,13293.33111111111,2700,1515519,1802239,2228223,2260991,2392063,2506751
28,99,83,33.701,26400.33,13761.438214285714,2800,1572863,1867775,2310143,2342911,2490367,2588671
29,101,83,34.692,27354.24,14230.15551724138,2900,1630207,1941503,2392063,2441215,2572287,2686975
30,99,84,35.694,28521.3,14706.527,3000,1679359,2007039,2473983,2539519,2686975,2801663
31,100,84,36.687,29406.24,15180.71129032258,3100,1736703,2072575,2555903,2621439,2768895,2883583
32,97,84,37.713,30390.17,15656.006875,3200,1794047,2146303,2654207,2703359,2867199,2981887
33,100,85,38.706,31504.83,16136.274242424242,3300,1843199,2211839,2736127,2801663,2965503,3096575
34,99,85,39.713,32483.85,16617.085294117645,3400,1908735,2277375,2834431,2899967,3063807,3194879
35,27,80,43.394,33096.02,17087.912,3500,1966079,2342911,2899967,2949119,3112959,3244031
36,8,65,55.116,38750.07,17689.63861111111,3600,2023423,2424831,3031039,3391487,3620863,3784703
37,5,49,74.041,61290.31,18868.035135135135,3700,2129919,2588671,3784703,5406719,5734399,6029311
38,15,47,80.354,68847.04,20183.272105263157,3800,2244607,2785279,5144575,6127615,6455295,6750207
39,18,45,85.777,75926.1,21612.575384615386,3900,2375679,3047423,5865471,6750207,7143423,7438335
40,36,45,88.495,79148.24,23050.967,4000,2523135,3522559,6389759,7045119,7438335,7766015
41,55,45,90.311,82249.06,24494.822926829267,4100,2686975,4177919,6815743,7340031,7733247,8060927
42,55,45,92.124,84207.59,25916.555476190475,4200,2883583,4751359,7143423,7503871,7929855,8257535
43,36,45,94.843,86376.36,27322.597441860464,4300,3112959,5177343,7405567,7700479,8126463,8519679
44,109,45,95.76,87843.33,28698.068636363638,4400,3457023,5537791,7602175,7831551,8257535,8650751
45,109,46,96.675,88784.58,30033.324444444443,4500,3833855,5832703,7766015,7897087,8355839,8716287
46,4166,47,96.7,88635.88,31307.29304347826,4600,4227071,6062079,7929855,7962623,8388607,8716287
47,106,48,97.641,84285.79,32434.49510638298,4700,4489215,6225919,7995391,7503871,7929855,8290303
48,104,48,98.598,85067.5,33531.01604166667,4800,4751359,6389759,8028159,7569407,7995391,8355839
49,54,48,100.434,86296.68,34607.86632653061,4900,4980735,6553599,8093695,7700479,8126463,8519679
50,54,48,102.26,88088.53,35677.4796,5000,5144575,6651903,8159231,7831551,8290303,8650751
51,106,49,103.203,89792.46,36738.55764705882,5100,5341183,6815743,8191999,7995391,8454143,8847359
52,54,49,105.044,91214.36,37786.16923076923,5200,5472255,6914047,8290303,8126463,8585215,8978431
53,108,50,105.962,92524.3,38818.96415094339,5300,5636095,7012351,8355839,8257535,8716287,9109503
54,106,50,106.901,93480.52,39831.21518518519,5400,5767167,7143423,8454143,8323071,8847359,9175039
55,36,50,109.632,95009.28,40834.45272727273,5500,5898239,7208959,8519679,8454143,8978431,9371647
56,27,49,113.256,97944.31,41854.27160714286,5600,6029311,7340031,8585215,8716287,9240575,9633791
57,1886,50,113.31,99541.36,42866.32578947368,5700,6160383,7438335,8716287,8912895,9371647,9764863
58,54,50,115.158,100766.73,43864.60862068966,5800,6258687,7536639,8781823,8978431,9502719,9895935
59,109,50,116.073,101843.44,44847.3006779661,5900,6389759,7602175,8912895,9109503,9633791,10027007
60,108,51,116.997,102709.78,45811.67533333333,6000,6488063,7700479,9043967,9175039,9699327,10092543
61,36,50,119.709,103535.18,46757.96229508197,6100,6586367,7766015,9175039,9240575,9764863,10158079
62,36,50,122.423,106524.52,47721.939032258066,6200,6684671,7864319,9306111,9502719,10027007,10485759
63,55,50,124.237,108881.89,48692.7319047619,6300,6782975,7962623,9437183,9699327,10289151,10682367
64,55,50,126.048,110771.84,49662.71796875,6400,6881279,8060927,9568255,9895935,10420223,10878975
65,110,51,126.958,112760.57,50633.454153846156,6500,6979583,8126463,9699327,10092543,10616831,11075583
66,36,50,129.678,113962.21,51592.98075757576,6600,7077887,8224767,9830399,10158079,10747903,11206655
67,1960,51,129.729,114936.66,52538.408805970146,6700,7176191,8290303,10027007,10289151,10813439,11272191
68,54,51,131.551,115876.21,53469.84705882353,6800,7241727,8388607,10092543,10354687,10944511,11403263
69,109,52,132.461,116758.44,54387.07304347826,6900,7340031,8454143,10289151,10420223,11010047,11468799
70,107,52,133.388,117465.36,55288.19142857143,7000,7405567,8585215,10354687,10485759,11075583,11534335
71,36,52,136.104,119112.28,56187.12225352113,7100,7503871,8650751,10485759,10616831,11206655,11730943
72,27,51,139.719,122431.89,57107.188472222224,7200,7569407,8781823,10682367,10878975,11534335,12058623
73,55,51,141.531,125278.29,58041.03917808219,7300,7667711,8847359,10813439,11141119,11796479,12320767
74,55,51,143.345,127347.29,58977.61013513513,7400,7766015,8978431,10944511,11337727,11993087,12517375
75,109,51,144.257,129045.16,59911.84413333333,7500,7831551,9043967,11075583,11534335,12189695,12648447
76,54,52,146.087,130108.83,60835.488684210526,7600,7897087,9175039,11206655,11599871,12255231,12779519
77,104,52,147.046,130702.2,61742.84857142857,7700,7995391,9306111,11337727,11665407,12320767,12845055
78,55,52,148.858,131850.52,62641.66487179487,7800,8060927,9437183,11468799,11730943,12451839,12976127
79,109,52,149.768,133247.43,63535.40873417722,7900,8126463,9502719,11599871,11862015,12582911,13107199
80,109,53,150.68,134594.88,64423.652125,8000,8224767,9633791,11730943,11993087,12713983,13238271
81,109,53,151.598,135417.76,65300.12259259259,8100,8290303,9764863,11862015,12058623,12779519,13303807
82,36,53,154.312,136341.1,66166.47597560976,8200,8355839,9830399,11993087,12189695,12845055,13369343
83,55,53,156.127,139032.96,67044.38542168675,8300,8454143,9961471,12124159,12386303,13107199,13631487
84,55,53,157.942,140615.0,67920.22607142857,8400,8519679,10027007,12320767,12517375,13238271,13828095
