Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,19,19,5.086,9.0534688099628E11,9.0534688099628E11,100,74217034874879,81913616269311,87960930222079,74217034874879,81913616269311,87960930222079
2,8,11,17.311,6.0356459436274E11,7.5445573767951E11,200,60473139527679,74217034874879,86311662780415,60473139527679,60473139527679,60473139527679
3,11,11,26.33,17247.69,5.0297049753557E11,300,60473139527679,66520453480447,84662395338751,1490943,1597439,1687551
3,0,11,26.332,NaN,5.01299499204887E11,301,60473139527679,66520453480447,84662395338751,1728511,1728511,1728511
