Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,0,0,25.318,7016.8,7016.8,10,48639,59135,59135,48639,59135,59135
2,0,0,42.291,14331.1,10673.95,20,93695,110079,126463,110079,126463,126463
3,0,0,56.481,18832.3,13393.4,30,126463,148479,168959,148479,168959,168959
4,0,0,70.254,21851.8,15508.0,40,148479,168959,195583,173055,195583,195583
5,0,0,86.058,25460.5,17498.5,50,168959,195583,227327,199679,227327,227327
6,0,0,101.202,29437.4,19488.316666666666,60,173055,201727,231423,231423,264191,264191
7,0,0,116.141,33315.2,21463.585714285713,70,199679,231423,264191,264191,299007,299007
8,0,0,130.4,37653.2,23487.2875,80,227327,264191,301055,301055,337919,337919
9,0,0,145.161,41848.5,25527.422222222223,90,246783,299007,337919,333823,376831,376831
