Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,16,16,5.951,890.87,890.87,100,78335,82943,86527,78335,82943,86527
2,107,29,6.884,1788.26,1339.565,200,138239,155647,173055,155647,164863,175103
3,104,38,7.844,2514.54,1731.2233333333334,300,169983,204799,239615,219135,233471,245759
4,54,41,9.666,3941.75,2283.855,400,235519,299007,370687,342015,364543,385023
5,107,47,10.599,5477.87,2922.658,500,329727,397311,514047,485375,514047,536575
6,54,48,12.424,7237.02,3641.7183333333332,600,425983,520191,667647,634879,675839,708607
7,109,52,13.339,8361.74,4316.007142857143,700,507903,626687,765951,741375,786431,819199
8,104,55,14.299,8999.53,4901.4475,800,581631,696319,827391,798719,847871,884735
9,103,58,15.269,9691.32,5433.655555555555,900,643071,753663,884735,860159,909311,950271
10,100,61,16.261,10653.22,5955.612,1000,696319,811007,954367,946175,999423,1044479
11,100,63,17.255,11645.5,6472.874545454545,1100,745471,864255,1044479,1032191,1097727,1146879
12,100,65,18.248,12677.55,6989.930833333333,1200,798719,929791,1130495,1130495,1196031,1245183
13,98,67,19.259,13648.75,7502.1476923076925,1300,847871,999423,1220607,1212415,1286143,1343487
14,101,69,20.249,14645.39,8012.379285714285,1400,901119,1064959,1302527,1302527,1376255,1441791
15,100,70,21.244,15560.61,8515.594666666666,1500,958463,1138687,1384447,1384447,1466367,1531903
16,100,71,22.239,16539.91,9017.114375,1600,1019903,1204223,1466367,1474559,1556479,1622015
17,98,73,23.256,17461.29,9513.830588235294,1700,1073151,1269759,1548287,1556479,1646591,1712127
18,101,74,24.24,18315.36,10002.804444444444,1800,1130495,1343487,1630207,1630207,1720319,1802239
19,101,75,25.224,19245.71,10489.273157894737,1900,1187839,1409023,1703935,1712127,1810431,1892351
20,100,76,26.224,20240.08,10976.8135,2000,1245183,1466367,1785855,1802239,1908735,1990655
21,100,77,27.223,21162.87,11461.86380952381,2100,1302527,1540095,1867775,1884159,1990655,2080767
22,96,77,28.264,22151.11,11947.738636363636,2200,1351679,1597439,1949695,1974271,2080767,2179071
23,103,78,29.23,23020.07,12429.144347826086,2300,1409023,1662975,2023423,2047999,2162687,2260991
24,102,79,30.205,23924.66,12908.124166666666,2400,1458175,1728511,2113535,2129919,2260991,2359295
25,101,80,31.189,24899.87,13387.794,2500,1515519,1794047,2195455,2228223,2342911,2441215
26,101,80,32.173,25763.21,13863.771538461539,2600,1572863,1859583,2277375,2293759,2424831,2539519
27,99,81,33.175,26710.05,14339.55962962963,2700,1622015,1925119,2342911,2375679,2523135,2621439
28,98,81,34.189,27679.04,14815.969642857142,2800,1679359,1990655,2424831,2473983,2605055,2719743
29,100,82,35.185,28857.33,15300.15448275862,2900,1736703,2056191,2523135,2572287,2719743,2834431
30,101,82,36.171,29745.36,15781.661333333333,3000,1794047,2129919,2605055,2654207,2801663,2916351
31,52,81,38.065,30808.3,16266.391612903226,3100,1843199,2195455,2686975,2736127,2899967,3031039
32,95,81,39.116,31870.27,16754.0128125,3200,1908735,2260991,2768895,2834431,2998271,3129343
33,100,82,40.116,32904.56,17243.423333333332,3300,1957887,2326527,2867199,2932735,3096575,3227647
34,100,82,41.108,33762.71,17729.284705882354,3400,2015231,2392063,2932735,2998271,3178495,3309567
35,100,83,42.103,34583.37,18210.83,3500,2072575,2457599,3031039,3080191,3260415,3391487
36,101,83,43.092,35613.46,18694.23638888889,3600,2129919,2523135,3112959,3162111,3358719,3489791
37,100,83,44.089,36261.11,19169.016756756755,3700,2195455,2605055,3194879,3227647,3407871,3555327
38,36,81,46.809,37765.78,19658.405263157896,3800,2244607,2670591,3260415,3358719,3555327,3702783
39,27,77,50.432,41064.42,20207.277435897435,3900,2293759,2736127,3375103,3637247,3850239,4030463
40,55,76,52.247,43902.78,20799.665,4000,2375679,2834431,3538943,3899391,4128767,4325375
41,55,75,54.066,45608.14,21404.74975609756,4100,2441215,2932735,3719167,4046847,4292607,4489215
42,110,76,54.978,47280.45,22020.83785714286,4200,2506751,3014655,3948543,4227071,4456447,4653055
43,109,76,55.893,48625.28,22639.54581395349,4300,2588671,3129343,4095999,4325375,4587519,4784127
44,108,77,56.814,49749.7,23255.68568181818,4400,2654207,3227647,4259839,4456447,4685823,4882431
45,55,76,58.627,50965.59,23871.461333333333,4500,2736127,3309567,4390911,4554751,4816895,5013503
46,109,77,59.54,52588.77,24495.750652173912,4600,2801663,3424255,4489215,4685823,4947967,5177343
47,22,73,64.058,53437.49,25111.532340425532,4700,2883583,3538943,4620287,4784127,5046271,5242879
48,8,63,75.774,63500.06,25911.293333333335,4800,2981887,3702783,4816895,5636095,5963775,6225919
49,9,56,86.596,71792.7,26847.64857142857,4900,3080191,3883007,5144575,6324223,6717439,7045119
50,36,55,89.311,79216.8,27895.0316,5000,3211263,4079615,5832703,7045119,7438335,7766015
51,36,55,92.026,82347.15,28962.72019607843,5100,3325951,4292607,6324223,7340031,7733247,8093695
52,55,55,93.84,84861.16,30037.69019230769,5200,3457023,4489215,6815743,7569407,7995391,8323071
53,55,55,95.653,86622.75,31105.33283018868,5300,3620863,4685823,7176191,7700479,8159231,8519679
54,55,55,97.471,88740.78,32172.655925925927,5400,3784703,4947967,7471103,7897087,8355839,8716287
55,109,55,98.388,89951.43,33223.17909090909,5500,3948543,5210111,7700479,8028159,8454143,8847359
56,110,56,99.297,91212.39,34258.70071428571,5600,4095999,5505023,7864319,8126463,8585215,8978431
57,108,56,100.22,90505.17,35245.48087719298,5700,4259839,5799935,8028159,8126463,8585215,8912895
58,2857,57,100.256,85802.15,36117.1475862069,5800,4390911,6029311,8093695,7667711,8093695,8454143
59,36,57,102.968,86878.75,36977.51372881356,5900,4521983,6193151,8126463,7733247,8191999,8519679
60,22,55,107.483,89966.43,37860.662333333334,6000,4685823,6356991,8191999,7995391,8454143,8847359
61,55,55,109.295,93372.39,38770.69065573771,6100,4816895,6520831,8290303,8323071,8781823,9175039
62,109,56,110.209,94946.18,39676.74693548387,6200,4980735,6684671,8388607,8454143,8978431,9306111
63,109,56,111.123,96254.06,40574.799523809525,6300,5111807,6848511,8454143,8585215,9109503,9437183
64,109,57,112.035,97351.48,41461.93515625,6400,5308415,6979583,8585215,8716287,9175039,9568255
65,109,57,112.949,97917.47,42330.481846153845,6500,5472255,7110655,8650751,8716287,9240575,9633791
66,36,57,115.673,99011.94,43189.29181818182,6600,5603327,7208959,8781823,8847359,9306111,9764863
67,104,57,116.631,100523.77,44045.03029850746,6700,5767167,7307263,8847359,8978431,9502719,9895935
68,108,57,117.554,101230.72,44885.99632352941,6800,5898239,7438335,8912895,9043967,9568255,9961471
69,36,57,120.266,103323.54,45732.91724637681,6900,6029311,7536639,9043967,9240575,9764863,10158079
70,55,57,122.074,105154.64,46581.799,7000,6160383,7634943,9175039,9371647,9895935,10354687
71,55,57,123.887,107311.07,47437.140845070426,7100,6291455,7733247,9306111,9568255,10092543,10551295
72,110,57,124.795,108738.04,48288.54222222222,7200,6422527,7831551,9371647,9699327,10223615,10682367
73,109,58,125.706,110124.04,49135.603835616435,7300,6520831,7929855,9502719,9830399,10354687,10813439
74,109,58,126.618,111193.63,49974.225810810814,7400,6619135,8028159,9633791,9961471,10485759,10944511
