Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,15,15,6.516,788.65,788.65,100,65535,71679,76799,65535,71679,76799
2,54,23,8.351,2654.05,1721.35,200,193535,228351,255999,228351,244735,259071
3,107,32,9.281,4093.03,2511.91,300,276479,342015,393215,362495,385023,401407
4,108,39,10.201,5009.62,3136.3375,400,350207,399359,475135,442367,468991,491519
5,2272,48,10.246,5398.81,3588.832,500,393215,448511,507903,481279,507903,532479
6,109,53,11.16,6219.47,4027.2716666666665,600,436223,491519,581631,557055,585727,610303
7,108,57,12.085,6758.16,4417.398571428572,700,471039,532479,622591,602111,634879,663551
8,109,61,13.001,7668.17,4823.745,800,509951,589823,700415,684031,724991,753663
9,107,64,13.931,8259.16,5205.457777777778,900,548863,634879,753663,733183,778239,811007
10,2564,71,13.972,8483.85,5533.297,1000,585727,671743,790527,757759,798719,831487
11,102,73,14.95,9317.75,5877.3381818181815,1100,622591,716799,831487,831487,876543,913407
12,102,75,15.924,10166.06,6234.731666666667,1200,659455,761855,905215,905215,958463,999423
13,102,76,16.897,10585.74,6569.424615384615,1300,692223,802815,958463,937983,995327,1036287
14,2127,82,16.944,11218.05,6901.469285714285,1400,733183,843775,1007615,999423,1056767,1105919
15,105,83,17.891,11986.61,7240.478666666667,1500,765951,892927,1073151,1073151,1130495,1179647
16,103,84,18.861,12536.27,7571.465625,1600,798719,933887,1114111,1114111,1179647,1228799
17,1694,89,18.92,13054.97,7894.024705882353,1700,835583,983039,1179647,1163263,1228799,1286143
18,103,90,19.89,13914.17,8228.477222222222,1800,876543,1019903,1228799,1245183,1310719,1368063
19,102,91,20.861,14406.73,8553.648421052632,1900,913407,1073151,1286143,1277951,1351679,1417215
20,1515,95,20.927,14939.49,8872.9405,2000,950271,1114111,1343487,1335295,1409023,1466367
21,102,95,21.9,15622.98,9194.370952380952,2100,987135,1155071,1384447,1392639,1474559,1531903
22,103,96,22.865,16120.21,9509.181818181818,2200,1019903,1196031,1433599,1433599,1515519,1581055
23,1754,100,22.923,16825.18,9827.268695652174,2300,1056767,1236991,1482751,1499135,1589247,1654783
24,101,100,23.904,17495.1,10146.761666666667,2400,1097727,1277951,1540095,1556479,1646591,1720319
25,103,100,24.866,17961.56,10459.3536,2500,1130495,1327103,1597439,1597439,1687551,1761279
26,1176,104,24.952,18732.18,10777.539230769231,2600,1163263,1368063,1646591,1671167,1761279,1843199
27,102,104,25.932,19375.1,11095.967407407408,2700,1204223,1409023,1703935,1728511,1826815,1900543
28,101,104,26.914,19920.17,11411.1175,2800,1236991,1449983,1744895,1769471,1875967,1957887
29,1111,107,27.004,20670.67,11730.412413793103,2900,1269759,1490943,1810431,1843199,1949695,2031615
30,102,107,27.978,21227.99,12046.998333333333,3000,1310719,1540095,1867775,1892351,1998847,2080767
31,102,107,28.955,21725.79,12359.217419354838,3100,1343487,1581055,1916927,1933311,2039807,2129919
32,1785,110,29.012,22572.34,12678.3775,3200,1384447,1630207,1974271,2015231,2129919,2228223
33,103,110,29.978,23085.71,12993.751212121213,3300,1417215,1671167,2031615,2056191,2179071,2277375
34,1123,113,30.067,23542.64,13304.012647058824,3400,1449983,1712127,2080767,2097151,2228223,2310143
35,101,112,31.057,24453.81,13622.578285714286,3500,1490943,1761279,2129919,2179071,2310143,2408447
36,100,112,32.056,24976.67,13937.969722222222,3600,1523711,1802239,2195455,2228223,2359295,2457599
37,1030,115,32.153,25513.95,14250.834054054054,3700,1564671,1843199,2244607,2277375,2408447,2506751
38,102,114,33.134,26395.16,14570.42157894737,3800,1605631,1892351,2310143,2359295,2490367,2588671
39,103,114,34.098,26998.33,14889.085897435898,3900,1638399,1933311,2359295,2408447,2539519,2654207
40,101,114,35.084,27504.5,15204.47125,4000,1671167,1974271,2408447,2441215,2588671,2703359
41,1098,116,35.176,28361.98,15525.386097560975,4100,1712127,2015231,2457599,2539519,2670591,2785279
42,97,116,36.198,29171.6,15850.295952380953,4200,1744895,2072575,2539519,2605055,2752511,2867199
43,101,115,37.185,29606.06,16170.197441860466,4300,1785855,2113535,2588671,2637823,2785279,2916351
44,1190,118,37.269,30338.22,16492.197954545456,4400,1826815,2162687,2637823,2703359,2867199,2981887
45,99,117,38.275,31062.57,16815.984,4500,1859583,2211839,2703359,2768895,2932735,3047423
46,10,95,48.248,34178.17,17193.422826086957,4600,1900543,2244607,2768895,2981887,3178495,3342335
47,22,89,52.762,42686.99,17735.83914893617,4700,1957887,2326527,2949119,3784703,4014079,4194303
48,12,78,60.881,49632.29,18400.348541666666,4800,2015231,2424831,3391487,4390911,4653055,4882431
49,54,78,62.7,54570.57,19138.51632653061,4900,2088959,2539519,4014079,4882431,5144575,5373951
50,55,77,64.51,56695.15,19889.649,5000,2179071,2670591,4423679,5046271,5341183,5570559
51,55,76,66.323,58154.19,20639.93411764706,5100,2244607,2834431,4718591,5177343,5472255,5701631
52,4347,78,66.346,59140.82,21380.33576923077,5200,2326527,3014655,4947967,5275647,5570559,5799935
53,109,78,67.259,60131.96,22111.49849056604,5300,2424831,3309567,5111807,5373951,5668863,5898239
54,54,78,69.079,61353.4,22838.20037037037,5400,2523135,3555327,5275647,5472255,5767167,6029311
55,109,78,70.002,62175.27,23553.419818181817,5500,2621439,3801087,5406719,5537791,5865471,6094847
56,107,78,70.932,59624.0,24197.537321428572,5600,2719743,3981311,5472255,5341183,5636095,5865471
57,54,78,72.755,57195.63,24776.451228070175,5700,2834431,4112383,5472255,5111807,5373951,5603327
58,27,75,76.365,60398.43,25390.623275862068,5800,2949119,4227071,5537791,5373951,5668863,5931007
59,55,75,78.175,62941.33,26027.07593220339,5900,3096575,4358143,5603327,5603327,5931007,6193151
60,55,75,79.984,64969.57,26676.1175,6000,3244031,4489215,5668863,5799935,6127615,6389759
61,55,74,81.797,66703.49,27332.30393442623,6100,3391487,4620287,5734399,5963775,6291455,6553599
62,109,74,82.714,67912.44,27986.822258064516,6200,3538943,4718591,5832703,6062079,6389759,6684671
63,108,75,83.632,69525.95,28646.17349206349,6300,3670015,4816895,5931007,6193151,6553599,6815743
64,109,75,84.546,70386.91,29298.3725,6400,3784703,4915199,5996543,6291455,6619135,6914047
65,109,76,85.456,70820.91,29937.18076923077,6500,3899391,5013503,6127615,6324223,6684671,6946815
66,6250,77,85.473,71337.88,30564.464090909092,6600,4014079,5079039,6193151,6389759,6717439,7012351
67,106,77,86.409,71397.22,31173.908208955225,6700,4112383,5177343,6291455,6356991,6717439,7012351
68,106,77,87.35,71759.32,31770.7525,6800,4227071,5242879,6389759,6389759,6750207,7045119
69,55,77,89.165,72872.39,32366.4284057971,6900,4292607,5308415,6455295,6488063,6848511,7143423
70,110,77,90.075,74124.86,32962.97742857143,7000,4390911,5373951,6553599,6619135,6979583,7274495
71,12500,78,90.083,74977.56,33554.73211267606,7100,4456447,5439487,6619135,6684671,7077887,7372799
72,109,79,90.998,75795.28,34141.40638888889,7200,4554751,5505023,6684671,6750207,7143423,7438335
73,110,79,91.905,76248.49,34718.21575342466,7300,4620287,5570559,6750207,6782975,7176191,7471103
74,110,79,92.809,76883.09,35288.01135135135,7400,4685823,5636095,6815743,6848511,7241727,7536639
75,107,80,93.735,77401.76,35849.528,7500,4751359,5668863,6881279,6881279,7274495,7602175
76,27,78,97.345,79982.22,36430.22131578947,7600,4816895,5734399,6946815,7110655,7536639,7864319
77,36,76,100.059,83473.64,37041.1748051948,7700,4882431,5799935,7012351,7438335,7864319,8191999
78,55,76,101.87,85428.82,37661.52923076923,7800,4947967,5865471,7110655,7602175,8028159,8388607
79,107,76,102.801,86429.48,38278.84506329114,7900,5046271,5963775,7241727,7700479,8126463,8519679
80,54,76,104.624,87116.48,38889.3155,8000,5111807,6029311,7340031,7766015,8191999,8585215
81,110,76,105.528,88768.46,39505.107407407406,8100,5177343,6094847,7438335,7897087,8355839,8716287
82,110,77,106.434,89771.68,40118.1143902439,8200,5242879,6193151,7569407,7995391,8454143,8847359
83,109,77,107.348,90631.9,40726.71421686747,8300,5308415,6258687,7700479,8060927,8519679,8912895
84,110,77,108.256,91591.75,41332.25035714286,8400,5373951,6356991,7864319,8159231,8650751,8978431
85,110,77,109.163,93180.68,41942.23188235294,8500,5406719,6422527,7962623,8323071,8781823,9175039
86,109,78,110.078,93651.89,42543.50697674419,8600,5472255,6488063,8093695,8355839,8847359,9240575
