Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,9,9,10.198,522.36,522.36,100,46335,49151,51199,46335,49151,51199
2,107,17,11.132,1042.89,782.625,200,75775,90111,100863,90111,96767,101887
3,106,24,12.068,1884.9,1150.05,300,120319,153599,180223,164863,176127,184319
4,107,30,12.995,2861.26,1577.8525,400,177151,222207,272383,252927,268287,280575
5,108,35,13.914,4027.73,2067.828,500,244735,294911,378879,358399,378879,395263
6,109,40,14.826,4871.27,2535.068333333333,600,303103,370687,452607,432127,458751,477183
7,54,42,16.651,5663.47,2981.982857142857,700,358399,421887,516095,495615,528383,557055
8,108,45,17.574,6605.84,3434.965,800,403455,479231,598015,585727,618495,647167
9,5263,51,17.594,7431.95,3879.0744444444445,900,458751,544767,671743,663551,700415,729087
10,2040,56,17.643,7422.09,4233.376,1000,495615,589823,700415,663551,700415,729087
11,99,58,18.646,8126.71,4587.3154545454545,1100,536575,630783,729087,720895,765951,798719
12,100,61,19.643,8604.83,4922.108333333334,1200,565247,663551,778239,761855,806911,843775
13,1030,65,19.74,9372.01,5264.408461538462,1300,606207,700415,835583,835583,884735,921599
14,100,67,20.735,10036.21,5605.251428571429,1400,638975,737279,892927,892927,942079,983039
15,100,69,21.732,10517.03,5932.703333333333,1500,671743,778239,942079,929791,987135,1032191
16,943,73,21.838,11339.08,6270.601875,1600,704511,823295,995327,1011711,1073151,1114111
17,101,74,22.828,12011.6,6608.307647058824,1700,737279,872447,1056767,1073151,1130495,1179647
18,100,75,23.823,12571.88,6939.617222222222,1800,774143,913407,1114111,1114111,1179647,1236991
19,1449,79,23.892,13293.85,7274.050526315789,1900,811007,958463,1171455,1187839,1253375,1310719
20,104,80,24.847,13970.66,7608.881,2000,851967,1007615,1228799,1245183,1318911,1376255
21,102,81,25.822,14429.13,7933.6547619047615,2100,884735,1048575,1277951,1277951,1359871,1417215
22,1190,84,25.907,15189.21,8263.452727272726,2200,929791,1097727,1343487,1351679,1433599,1490943
23,100,85,26.898,15717.03,8587.521304347825,2300,958463,1138687,1384447,1400831,1482751,1540095
24,104,86,27.86,16215.67,8905.360833333334,2400,999423,1187839,1433599,1441791,1523711,1589247
25,1408,89,27.932,17112.91,9233.6628,2500,1036287,1236991,1490943,1523711,1613823,1679359
26,101,89,28.916,17608.19,9555.76,2600,1073151,1269759,1540095,1564671,1654783,1728511
27,1000,93,29.016,18115.03,9872.77,2700,1114111,1318911,1597439,1613823,1703935,1777663
28,102,93,29.995,19053.12,10200.639642857142,2800,1146879,1359871,1662975,1695743,1794047,1867775
29,101,93,30.976,19523.9,10522.131379310345,2900,1187839,1400831,1712127,1736703,1835007,1916927
30,100,93,31.973,20076.29,10840.603333333333,3000,1220607,1449983,1761279,1785855,1892351,1966079
31,1250,96,32.054,21004.99,11168.486774193549,3100,1261567,1490943,1826815,1875967,1982463,2064383
