Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,8,8,11.753,1481.36,1481.36,100,129535,138239,145407,129535,138239,145407
2,108,15,12.677,1975.76,1728.56,200,146431,169983,190463,169983,182271,192511
3,106,22,13.616,2438.86,1965.3266666666666,300,175103,195583,232447,210943,226303,238591
4,107,27,14.548,3725.79,2405.4425,400,226303,286719,352255,327679,348159,364543
5,107,32,15.479,4650.27,2854.408,500,296959,354303,436223,409599,436223,456703
6,108,36,16.4,5730.59,3333.7716666666665,600,354303,428031,532479,505855,536575,561151
7,108,40,17.323,6686.42,3812.7214285714285,700,415743,499711,614399,593919,626687,655359
8,109,43,18.241,7398.09,4260.8925,800,462847,561151,675839,659455,696319,724991
9,108,46,19.166,8341.44,4714.286666666667,900,528383,626687,753663,745471,786431,819199
10,1562,51,19.231,8473.23,5090.181,1000,569343,667647,794623,757759,798719,831487
11,100,54,20.228,8927.32,5439.011818181818,1100,606207,704511,819199,790527,839679,876543
12,102,56,21.211,9427.33,5771.371666666667,1200,643071,741375,856063,835583,884735,925695
13,934,60,21.319,10324.1,6121.581538461539,1300,675839,782335,913407,921599,970751,1015807
14,96,62,22.353,10842.46,6458.7871428571425,1400,712703,815103,974847,962559,1019903,1064959
15,94,64,23.407,11432.24,6790.350666666666,1500,745471,847871,1023999,1015807,1073151,1122303
16,1388,68,23.479,12372.0,7139.20375,1600,782335,901119,1089535,1105919,1163263,1220607
17,99,69,24.48,13005.72,7484.292941176471,1700,811007,946175,1155071,1155071,1220607,1277951
18,102,70,25.456,13456.04,7816.056666666666,1800,843775,991231,1204223,1196031,1261567,1318911
19,1639,74,25.518,14290.82,8156.833684210526,1900,884735,1040383,1261567,1277951,1343487,1400831
20,103,75,26.487,14846.7,8491.327,2000,921599,1089535,1318911,1318911,1400831,1458175
21,1923,79,26.539,15244.38,8812.900952380953,2100,962559,1130495,1368063,1359871,1433599,1499135
22,103,79,27.506,16084.98,9143.45,2200,999423,1179647,1417215,1433599,1515519,1581055
23,101,80,28.489,16590.32,9467.22695652174,2300,1032191,1220607,1466367,1474559,1556479,1630207
24,1333,84,28.565,17145.63,9787.160416666668,2400,1073151,1261567,1515519,1531903,1613823,1687551
25,100,84,29.559,18002.39,10115.7696,2500,1114111,1302527,1581055,1605631,1695743,1769471
26,100,85,30.555,18485.05,10437.665,2600,1146879,1351679,1630207,1646591,1736703,1810431
27,1265,88,30.634,19093.49,10758.25111111111,2700,1187839,1392639,1687551,1703935,1802239,1875967
28,103,88,31.603,19903.07,11084.851785714285,2800,1220607,1433599,1744895,1777663,1875967,1957887
29,100,88,32.599,20446.81,11407.677931034483,2900,1261567,1474559,1794047,1818623,1925119,2007039
30,1282,91,32.677,21024.7,11728.245333333334,3000,1294335,1523711,1851391,1875967,1982463,2064383
31,101,92,33.658,21754.62,12051.67677419355,3100,1335295,1564671,1900543,1941503,2047999,2146303
32,103,92,34.621,22365.53,12373.9846875,3200,1368063,1605631,1957887,1990655,2113535,2195455
33,1694,95,34.68,22911.64,12693.307575757575,3300,1409023,1654783,2015231,2039807,2162687,2260991
34,105,95,35.63,23584.38,13013.633235294117,3400,1441791,1695743,2064383,2097151,2228223,2326527
35,101,95,36.614,23985.07,13327.102857142858,3500,1474559,1744895,2113535,2129919,2260991,2359295
36,1449,98,36.684,24800.51,13645.808611111112,3600,1515519,1785855,2179071,2211839,2342911,2441215
37,101,98,37.666,25433.19,13964.386486486486,3700,1548287,1835007,2228223,2260991,2392063,2506751
38,103,98,38.635,25901.47,14278.520263157894,3800,1589247,1875967,2277375,2310143,2441215,2539519
39,1190,100,38.719,26714.61,14597.39435897436,3900,1622015,1916927,2326527,2392063,2523135,2621439
40,101,100,39.707,27461.5,14918.997,4000,1662975,1957887,2392063,2457599,2588671,2703359
41,100,100,40.702,27983.11,15237.633902439024,4100,1695743,2007039,2441215,2490367,2637823,2752511
42,101,100,41.685,28684.28,15557.792142857143,4200,1736703,2047999,2506751,2555903,2703359,2818047
43,1282,102,41.764,29599.13,15884.33488372093,4300,1777663,2088959,2555903,2637823,2785279,2916351
44,101,102,42.75,30030.8,16205.845454545455,4400,1810431,2146303,2621439,2670591,2834431,2949119
45,1724,105,42.808,30362.67,16520.441555555557,4500,1843199,2179071,2670591,2719743,2867199,2981887
46,108,105,43.73,30365.84,16821.42847826087,4600,1875967,2228223,2719743,2703359,2850815,2981887
47,54,103,45.549,31403.33,17131.68170212766,4700,1916927,2260991,2768895,2785279,2949119,3080191
48,109,103,46.465,33507.88,17472.8525,4800,1957887,2310143,2834431,2981887,3162111,3293183
49,109,103,47.377,34552.65,17821.419795918366,4900,1990655,2359295,2899967,3080191,3260415,3391487
50,107,103,48.309,35574.92,18176.4898,5000,2031615,2408447,2981887,3162111,3342335,3489791
51,109,103,49.225,36474.23,18535.269019607844,5100,2072575,2457599,3047423,3244031,3440639,3588095
52,106,103,50.168,37451.82,18899.048846153844,5200,2113535,2523135,3162111,3342335,3522559,3670015
53,109,103,51.079,38644.0,19271.595094339624,5300,2162687,2572287,3260415,3440639,3637247,3801087
54,7,84,63.72,40944.36,19672.942592592593,5400,2211839,2637823,3342335,3555327,3801087,3997695
55,22,80,68.264,52053.11,20261.67290909091,5500,2277375,2719743,3555327,4620287,4882431,5111807
56,12,73,76.388,58984.18,20953.14625,5600,2326527,2834431,3948543,5210111,5537791,5799935
57,54,72,78.213,63708.25,21703.235789473685,5700,2408447,2949119,4620287,5668863,5996543,6258687
58,55,72,80.025,65579.06,22459.71551724138,5800,2490367,3096575,5046271,5832703,6160383,6455295
59,110,72,80.933,67227.85,23218.49745762712,5900,2555903,3260415,5373951,5996543,6324223,6619135
60,55,72,82.747,68597.81,23974.819333333333,6000,2654207,3440639,5636095,6094847,6455295,6750207
61,11111,73,82.756,69913.48,24727.91213114754,6100,2736127,3637247,5865471,6225919,6586367,6881279
62,55,73,84.574,68584.59,25435.277903225808,6200,2834431,3899391,5996543,6160383,6488063,6750207
63,4166,74,84.598,65390.4,26069.48619047619,6300,2932735,4112383,6062079,5832703,6160383,6422527
