Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,15,15,6.554,2125.12,2125.12,100,189439,199679,208895,189439,199679,208895
2,95,26,7.605,2351.62,2238.37,200,194559,206847,226303,200703,216063,229375
3,625,38,7.767,3294.36,2590.366666666667,300,229375,276479,317439,292863,311295,323583
4,1063,50,7.861,3406.03,2794.2825,400,266239,301055,327679,303103,321535,333823
5,97,56,8.887,4002.93,3036.012,500,290815,321535,374783,352255,374783,393215
6,833,66,9.008,4550.19,3288.375,600,313343,356351,423935,405503,428031,446463
7,1000,76,9.109,4653.82,3483.4385714285713,700,333823,382975,442367,415743,438271,456703
8,99,79,10.117,5658.05,3755.265,800,368639,423935,516095,503807,532479,557055
9,1052,88,10.212,5757.61,3977.7477777777776,900,393215,448511,544767,511999,544767,565247
10,100,89,11.208,6340.04,4213.977,1000,419839,485375,569343,561151,593919,622591
11,892,97,11.32,6865.07,4454.985454545455,1100,446463,522239,618495,614399,647167,675839
12,100,97,12.313,6964.48,4664.11,1200,473087,548863,647167,622591,655359,684031
13,854,104,12.43,7965.53,4918.065384615385,1300,503807,581631,692223,708607,749567,782335
14,892,111,12.542,8076.21,5143.647142857143,1400,532479,614399,741375,720895,761855,794623
15,100,110,13.534,8636.84,5376.526666666667,1500,552959,647167,774143,765951,811007,847871
16,757,117,13.666,9190.76,5614.91625,1600,581631,675839,811007,819199,864255,901119
17,1010,123,13.766,9309.5,5832.244705882353,1700,606207,708607,847871,831487,876543,913407
18,100,121,14.764,10296.39,6080.252777777778,1800,634879,745471,897023,917503,970751,1011711
19,1098,127,14.855,10402.47,6307.7378947368425,1900,663551,774143,929791,925695,978943,1019903
20,99,126,15.857,10867.16,6535.709,2000,688127,802815,974847,962559,1019903,1064959
21,1063,131,15.951,11502.95,6772.244285714286,2100,716799,839679,1011711,1023999,1081343,1130495
22,925,136,16.059,11599.53,6991.666363636364,2200,745471,868351,1044479,1032191,1097727,1138687
23,98,134,17.075,12430.26,7228.126956521739,2300,770047,901119,1081343,1105919,1171455,1220607
24,709,139,17.216,12742.53,7457.89375,2400,794623,929791,1130495,1138687,1204223,1253375
25,90,136,18.325,13195.6,7687.402,2500,819199,966655,1163263,1171455,1236991,1294335
26,1234,141,18.406,13956.86,7928.535,2600,847871,999423,1212415,1245183,1318911,1368063
27,826,145,18.528,14056.26,8155.487777777777,2700,876543,1028095,1253375,1253375,1327103,1384447
