Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,5,5,17.641,603.08,603.08,100,52991,56063,58367,52991,56063,58367
2,102,10,18.616,1546.77,1074.925,200,117759,133119,148479,133119,141311,151551
3,53,14,20.486,2897.82,1682.5566666666666,300,184319,231423,274431,246783,266239,282623
4,107,18,21.419,4490.04,2384.4275,400,270335,348159,425983,397311,421887,440319
5,55,21,23.238,6291.55,3165.852,500,382975,450559,589823,552959,589823,618495
6,106,24,24.182,7359.55,3864.8016666666667,600,456703,569343,684031,651263,692223,724991
7,100,27,25.183,8378.39,4509.6,700,544767,638975,770047,745471,790527,823295
8,671,31,25.343,8588.83,5019.50375,800,598015,696319,811007,765951,811007,843775
9,97,34,26.365,9482.87,5515.433333333333,900,643071,741375,856063,843775,892927,929791
10,100,36,27.364,10440.27,6007.917,1000,692223,798719,942079,929791,983039,1023999
11,53,37,29.25,11442.84,6502.000909090909,1100,741375,843775,1023999,1015807,1073151,1122303
12,101,39,30.236,12478.87,7000.073333333334,1200,786431,913407,1114111,1105919,1171455,1228799
13,101,41,31.218,13425.42,7494.330769230769,1300,831487,983039,1196031,1187839,1261567,1318911
14,100,43,32.21,14398.12,7987.458571428571,1400,888831,1040383,1277951,1277951,1351679,1417215
15,102,45,33.186,15280.34,8473.650666666666,1500,937983,1114111,1359871,1359871,1433599,1499135
16,100,46,34.181,16257.71,8960.154375,1600,995327,1179647,1433599,1441791,1531903,1597439
17,94,48,35.236,17223.87,9446.255294117647,1700,1048575,1245183,1515519,1531903,1622015,1687551
