Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,0,0,23.496,6771.2,6771.2,10,47615,57855,57855,47615,57855,57855
2,0,0,42.1,14393.6,10582.4,20,94207,110079,126463,110079,126463,126463
3,0,0,57.537,19933.5,13699.433333333332,30,126463,155647,178175,155647,178175,178175
4,0,0,73.348,25113.0,16552.825,40,155647,178175,225279,197631,225279,225279
5,0,0,89.213,29597.2,19161.7,50,178175,225279,266239,234495,266239,266239
6,0,0,104.805,34412.7,21703.533333333333,60,202751,235519,272383,272383,309247,309247
7,0,0,121.085,38998.6,24174.257142857143,70,234495,272383,309247,309247,350207,350207
8,0,0,138.16,43708.5,26616.0375,80,266239,309247,350207,346111,391167,391167
9,0,0,152.008,48217.1,29016.155555555557,90,284671,346111,391167,380927,432127,432127
