Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,21,21,4.668,4.6776257034519E11,4.6776257034519E11,100,47004122087423,47004122087423,47004122087423,47004122087423,47004122087423,47004122087423
2,105,36,5.619,7.9972310429384E11,6.182856949458683E11,206,80264348827647,80264348827647,80264348827647,80264348827647,80264348827647,80264348827647
3,99,46,6.639,2.4142584436057E11,4.899063373375325E11,308,69544110456831,80264348827647,80264348827647,24189255811071,24189255811071,24189255811071
4,6,18,21.97,13818.46,3.6892702513888995E11,409,54425825574911,80264348827647,80264348827647,1187839,1277951,1351679
