Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,668,668,29.93,2624.76145,2624.76145,20000,46923775,50069503,52166655,46923775,50069503,52166655
2,792,725,55.172,3383.7407,3004.251075,40000,58195967,63176703,66846719,63176703,65535999,67633151
3,848,762,78.74,3304.0861,3104.1960833333333,60000,59768831,63438847,66322431,61341695,63700991,65798143
4,822,776,103.053,3331.2789,3160.9667875,80000,59768831,63438847,66322431,59768831,63963135,66322431
5,799,780,128.057,3235.7341,3175.92025,100000,58982399,63176703,66060287,56360959,60817407,64225279
6,819,787,152.459,3148.02275,3171.270666666667,120000,58195967,62390271,66060287,56360959,58720255,62128127
7,903,801,174.593,3240.6432,3181.1810285714287,140000,58720255,62390271,65798143,60030975,62652415,64487423
8,826,804,198.803,3317.98935,3198.28206875,160000,58982399,62652415,65798143,61079551,63963135,66060287
