Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,16,16,6.087,383.52,383.52,100,26879,32639,38399,30335,36095,40703
2,107,29,7.023,1743.65,1037.6439024390245,205,129535,154623,177151,156671,172031,182271
3,106,38,7.967,2938.65,1644.7467532467533,308,191487,246783,288767,257023,274431,288767
4,54,41,9.815,4246.55,2282.4436274509803,409,268287,333823,415743,374783,401407,419839
5,54,43,11.658,5830.089108910891,2954.392578125,513,370687,438271,581631,528383,577535,622591
6,109,49,12.575,7535.843137254902,3629.448717948718,624,489471,622591,794623,737279,802815,843775
7,108,54,13.507,8350.366336633664,4200.246612466125,738,602111,729087,843775,770047,811007,843775
8,54,54,15.349,9285.06,4807.0262529832935,838,651263,770047,876543,819199,868351,921599
9,101,57,16.34,10515.51,5409.839190628328,939,712703,819199,974847,929791,987135,1032191
10,99,59,17.341,11521.87,5998.10009624639,1039,761855,864255,1056767,1019903,1081343,1130495
11,99,62,18.347,12541.52,6572.588235294118,1139,806911,929791,1146879,1114111,1179647,1228799
12,101,64,19.338,13516.12,7133.002421307506,1239,851967,1007615,1228799,1204223,1269759,1327103
13,98,65,20.35,14518.88,7684.598954443614,1339,905215,1073151,1318911,1294335,1368063,1425407
14,102,67,21.328,15410.45,8221.489228630993,1439,962559,1146879,1400831,1368063,1449983,1515519
15,102,69,22.314,16230.485148514852,8730.228423101882,1541,1023999,1220607,1499135,1490943,1572863,1646591
16,102,70,23.286,17306.06,9252.826325411335,1641,1081343,1286143,1572863,1540095,1630207,1695743
17,100,71,24.278,18143.44,9763.487650775416,1741,1138687,1343487,1646591,1613823,1703935,1777663
18,102,72,25.254,19075.37623762376,10257.92295170917,1843,1204223,1417215,1736703,1736703,1835007,1908735
19,99,73,26.259,20081.19,10763.495110653628,1943,1253375,1482751,1810431,1785855,1892351,1974271
20,100,74,27.257,21000.11,11264.553108174254,2043,1310719,1540095,1908735,1892351,2015231,2113535
21,101,75,28.248,21968.70297029703,11747.443150046598,2146,1368063,1622015,1990655,1974271,2088959,2179071
22,101,76,29.231,22853.336633663366,12236.300400534046,2247,1425407,1687551,2080767,2056191,2179071,2277375
23,100,77,30.224,23785.24,12728.372816361312,2347,1482751,1753087,2146303,2113535,2244607,2342911
24,93,78,31.295,24797.67,13221.601144258275,2447,1531903,1810431,2211839,2211839,2342911,2441215
25,100,78,32.286,25720.52475247525,13706.7931711146,2548,1589247,1892351,2293759,2326527,2441215,2555903
26,99,79,33.291,26682.94,14196.828927492446,2648,1646591,1949695,2375679,2375679,2506751,2621439
27,99,80,34.298,27645.46,14686.225982532751,2748,1695743,2007039,2457599,2457599,2605055,2719743
28,102,80,35.275,28821.19,15182.537921348314,2848,1753087,2080767,2555903,2572287,2719743,2834431
29,102,81,36.256,29689.51485148515,15669.263818243473,2949,1810431,2146303,2637823,2670591,2834431,2949119
30,52,79,38.152,30719.554455445545,16157.265245901639,3050,1867775,2211839,2736127,2768895,2916351,3047423
31,101,80,39.143,31807.03,16654.083174603176,3150,1925119,2293759,2834431,2834431,2998271,3129343
32,100,80,40.138,32814.23,17151.31846153846,3250,1974271,2359295,2899967,2916351,3080191,3227647
33,100,81,41.135,33659.18,17638.82512682781,3351,2031615,2408447,2981887,2998271,3162111,3309567
34,1136,83,41.223,34497.39,18127.337583309185,3451,2088959,2490367,3047423,3080191,3244031,3391487
35,52,82,43.141,35529.75,18617.40833568009,3551,2146303,2555903,3129343,3162111,3342335,3489791
36,101,82,44.124,36406.91,19104.658449739796,3651,2211839,2621439,3211263,3276799,3457023,3604479
37,21,77,48.679,37385.77,19592.02479338843,3751,2260991,2686975,3276799,3309567,3506175,3670015
38,4,54,71.207,50189.02,20386.54557257855,3852,2326527,2768895,3506175,4390911,4718591,4980735
39,27,52,74.824,65946.84158415842,21517.546144121367,3955,2441215,2949119,4718591,5931007,6258687,6553599
40,27,51,78.438,68878.04,22674.315750554597,4057,2555903,3145727,5537791,6127615,6488063,6750207
41,54,51,80.257,71699.16831683168,23847.598124098124,4158,2670591,3391487,6062079,6455295,6815743,7176191
42,54,51,82.078,73746.40594059406,25007.51455399061,4260,2801663,3768319,6389759,6651903,7012351,7307263
43,109,52,82.993,75609.88118811882,26150.05065322026,4363,2965503,4325375,6619135,6881279,7274495,7569407
44,54,52,84.812,76948.1909090909,27225.599597585515,4473,3145727,4816895,6946815,7536639,8028159,8388607
45,108,53,85.733,78378.87962962964,28293.930364549225,4581,3342335,5144575,7208959,7471103,7995391,8323071
46,36,52,88.459,78721.73,29371.21726126896,4681,3588095,5472255,7372799,7143423,7503871,7798783
47,36,52,91.173,75389.10891089108,30327.048933500628,4782,3883007,5668863,7405567,6848511,7241727,7569407
48,36,52,93.889,78076.20792079208,31291.991605241605,4884,4145151,5865471,7471103,7045119,7438335,7733247
49,110,52,94.807,80407.33027522935,32218.35910274384,4993,4423679,6029311,7569407,7798783,8290303,8650751
50,55,52,96.622,81920.99,33194.25996465737,5093,4620287,6193151,7667711,7307263,7700479,8028159
51,108,53,97.541,83432.85714285714,34128.45209696037,5198,4849663,6324223,7766015,7864319,8355839,8716287
52,55,53,99.354,84756.83,35070.8258490566,5300,5013503,6455295,7864319,7634943,8060927,8454143
54,108,53,100.278,86141.03,36016.57037037037,5400,5144575,6553599,7897087,7667711,7864319,8454143
55,54,53,102.108,86163.96,36914.91748455107,5503,5308415,6651903,8028159,7766015,8191999,8585215
56,55,53,103.926,87874.43,37811.08476088508,5605,5439487,6750207,8126463,7929855,8355839,8716287
57,27,53,107.545,90555.72,38722.20311952331,5706,5603327,6848511,8257535,8060927,8519679,8912895
58,36,52,110.263,94506.21782178218,39676.00258308937,5807,5701631,6946815,8323071,8650751,9109503,9502719
59,55,52,112.074,95275.48514851485,40596.30981387479,5910,5865471,7077887,8454143,8716287,9175039,9568255
60,109,53,112.987,98743.31683168317,41550.048403193614,6012,5963775,7176191,8585215,9043967,9502719,9895935
61,109,53,113.904,98877.93137254902,42460.02027468934,6116,6094847,7274495,8716287,9043967,9502719,9895935
62,109,54,114.817,99491.59,43370.53932764999,6217,6193151,7372799,8847359,8912895,9371647,9764863
63,108,54,115.741,100416.38,44273.59205318981,6317,6291455,7471103,8978431,8978431,9502719,9895935
64,106,54,116.681,100455.85148514851,45135.0052967752,6419,6389759,7536639,9109503,9175039,9699327,10092543
65,27,54,120.297,102280.24752475247,46004.18726993865,6520,6488063,7634943,9240575,9240575,9764863,10158079
66,108,54,121.215,104916.55445544554,46879.86273029296,6628,6586367,7733247,9502719,10027007,10616831,11075583
67,36,54,123.93,107214.0594059406,47699.19634635378,6733,6684671,7864319,9633791,9764863,10289151,10747903
68,109,54,124.843,108818.23762376238,48586.49546385719,6834,6782975,7929855,9699327,9961471,10485759,10944511
69,55,54,126.653,110357.18811881189,49455.811878333574,6937,6848511,8060927,9895935,10092543,10616831,11075583
70,109,55,127.564,111506.08910891089,50308.906689390715,7041,6979583,8159231,10027007,10092543,10616831,11075583
