Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,13,13,7.384,2359.71,2359.71,100,209919,222207,231423,209919,222207,231423
2,92,23,8.467,2630.1,2494.905,200,217087,231423,252927,225279,242687,257023
3,1000,35,8.568,3528.09,2839.3,300,252927,296959,339967,315391,331775,346111
4,1020,46,8.667,3630.36,3037.065,400,282623,319487,350207,323583,342015,356351
5,97,51,9.689,4219.78,3273.608,500,309247,342015,395263,370687,395263,413695
6,806,61,9.814,4762.42,3521.7433333333333,600,333823,376831,444415,423935,448511,466943
7,102,64,10.8,4875.64,3715.157142857143,700,352255,403455,462847,434175,458751,477183
8,854,73,10.918,5869.07,3984.39625,800,385023,440319,536575,522239,552959,577535
9,1075,81,11.012,5974.14,4205.478888888889,900,409599,468991,565247,532479,565247,585727
10,97,83,12.035,6582.58,4443.189,1000,436223,503807,589823,581631,618495,647167
11,1149,90,12.126,7091.69,4683.961818181818,1100,462847,540671,638975,630783,667647,696319
12,952,98,12.231,7190.0,4892.798333333333,1200,489471,569343,667647,643071,675839,708607
13,100,98,13.224,8169.41,5144.845384615384,1300,522239,598015,712703,729087,770047,802815
14,925,105,13.332,8282.27,5368.947142857143,1400,548863,630783,761855,737279,778239,815103
15,98,104,14.349,8857.03,5601.486,1500,573439,663551,794623,786431,831487,868351
16,961,110,14.453,9408.23,5839.4075,1600,598015,696319,831487,839679,884735,925695
17,1098,116,14.544,9509.32,6055.284705882353,1700,626687,724991,868351,847871,897023,933887
18,101,115,15.532,10483.79,6301.312777777778,1800,655359,761855,913407,933887,987135,1028095
19,781,121,15.661,10604.26,6527.783684210526,1900,679935,794623,946175,946175,999423,1040383
20,98,119,16.678,11106.62,6756.7255,2000,704511,819199,995327,983039,1044479,1089535
21,854,125,16.795,11740.52,6994.049047619048,2100,733183,856063,1032191,1044479,1105919,1155071
22,1492,130,16.862,11833.19,7214.01,2200,761855,884735,1064959,1056767,1114111,1163263
23,101,128,17.849,12639.4,7449.896521739131,2300,786431,917503,1105919,1130495,1187839,1245183
24,1041,133,17.945,12906.73,7677.264583333334,2400,811007,950271,1155071,1155071,1220607,1269759
25,100,131,18.945,13280.78,7901.4052,2500,839679,983039,1179647,1179647,1245183,1302527
26,1369,136,19.019,13989.21,8135.551538461538,2600,868351,1019903,1228799,1245183,1318911,1376255
27,1190,141,19.103,14074.59,8355.515925925925,2700,892927,1044479,1253375,1253375,1327103,1384447
28,105,139,20.055,14842.3,8587.186785714286,2800,917503,1081343,1302527,1318911,1400831,1458175
29,2040,144,20.104,15084.65,8811.237241379311,2900,942079,1105919,1335295,1343487,1425407,1482751
30,106,142,21.04,15587.93,9037.127,3000,970751,1138687,1376255,1384447,1466367,1531903
31,2777,147,21.076,16061.81,9263.729677419355,3100,995327,1163263,1409023,1433599,1515519,1581055
32,107,145,22.01,16421.45,9487.4084375,3200,1019903,1204223,1449983,1458175,1540095,1613823
33,107,143,22.943,17178.88,9720.483333333334,3300,1048575,1228799,1490943,1523711,1613823,1687551
34,108,142,23.864,18063.56,9965.86794117647,3400,1081343,1261567,1540095,1605631,1695743,1769471
35,3571,146,23.894,18890.52,10220.858,3500,1105919,1302527,1597439,1687551,1777663,1851391
36,110,145,24.797,19052.29,10466.175555555556,3600,1138687,1335295,1646591,1687551,1794047,1867775
37,5000,149,24.818,19816.02,10718.874054054055,3700,1163263,1376255,1712127,1769471,1867775,1949695
38,4166,152,24.842,19838.45,10958.862894736842,3800,1196031,1409023,1753087,1769471,1867775,1949695
39,108,151,25.761,20550.08,11204.791538461539,3900,1220607,1449983,1802239,1826815,1933311,2015231
40,102,149,26.736,21292.72,11456.98975,4000,1253375,1482751,1851391,1892351,1998847,2088959
41,1136,152,26.824,21797.2,11709.19,4100,1277951,1523711,1892351,1941503,2056191,2146303
42,101,151,27.806,21883.32,11951.43119047619,4200,1310719,1564671,1925119,1949695,2056191,2146303
43,107,149,28.734,23585.42,12221.989069767442,4300,1343487,1605631,1982463,2113535,2228223,2326527
44,6666,153,28.749,23749.34,12483.974318181818,4400,1376255,1646591,2039807,2129919,2244607,2342911
45,110,151,29.655,24609.36,12753.427333333333,4500,1409023,1687551,2097151,2195455,2326527,2424831
46,108,150,30.574,25182.92,13023.633695652174,4600,1441791,1728511,2146303,2244607,2375679,2473983
47,109,149,31.486,26010.35,13299.946808510638,4700,1474559,1777663,2211839,2310143,2457599,2555903
48,3030,152,31.52,26512.21,13575.202291666666,4800,1507327,1818623,2293759,2375679,2506751,2605055
49,5000,155,31.54,26537.23,13839.733469387755,4900,1540095,1859583,2326527,2375679,2506751,2605055
50,108,154,32.462,26829.68,14099.5324,5000,1572863,1892351,2375679,2392063,2523135,2637823
51,1333,156,32.537,27508.2,14362.447450980391,5100,1605631,1933311,2424831,2457599,2588671,2703359
52,102,155,33.51,27591.68,14616.85576923077,5200,1646591,1966079,2457599,2457599,2605055,2703359
53,1428,157,33.581,28555.33,14879.845849056604,5300,1679359,2007039,2506751,2555903,2686975,2801663
54,109,156,34.496,28804.62,15137.712037037038,5400,1703935,2047999,2523135,2572287,2719743,2834431
55,109,155,35.407,29817.63,15404.619636363637,5500,1744895,2088959,2572287,2654207,2801663,2932735
56,107,154,36.333,30748.9,15678.624642857143,5600,1777663,2129919,2621439,2736127,2899967,3014655
57,4347,156,36.356,31352.82,15953.61052631579,5700,1810431,2179071,2670591,2801663,2949119,3080191
58,110,155,37.26,32124.92,16232.42620689655,5800,1843199,2211839,2719743,2867199,3031039,3162111
59,5263,158,37.28,32279.55,16504.411355932203,5900,1875967,2260991,2768895,2883583,3047423,3178495
60,111,157,38.18,32745.48,16775.095833333333,6000,1908735,2293759,2834431,2916351,3080191,3211263
61,1538,159,38.245,33218.7,17044.663114754097,6100,1941503,2342911,2883583,2965503,3129343,3260415
62,101,158,39.227,33509.39,17310.22322580645,6200,1974271,2375679,2932735,2981887,3145727,3293183
63,1612,160,39.29,34272.59,17579.467142857142,6300,2007039,2408447,2981887,3063807,3227647,3358719
64,2272,162,39.335,34333.42,17841.24765625,6400,2039807,2457599,3031039,3063807,3227647,3375103
65,55,157,41.147,35508.95,18113.05846153846,6500,2072575,2490367,3063807,3162111,3342335,3489791
66,110,156,42.052,36189.72,18386.947272727273,6600,2113535,2523135,3112959,3227647,3407871,3555327
67,110,155,42.96,37096.82,18666.19910447761,6700,2146303,2572287,3162111,3309567,3489791,3637247
68,6666,158,42.975,37976.2,18950.169705882352,6800,2179071,2605055,3211263,3391487,3571711,3735551
69,111,157,43.87,38039.86,19226.83188405797,6900,2211839,2637823,3260415,3391487,3571711,3735551
70,6666,159,43.885,38886.21,19507.68014285714,7000,2244607,2686975,3309567,3473407,3670015,3817471
71,2272,161,43.929,38908.92,19780.93704225352,7100,2293759,2719743,3375103,3473407,3670015,3817471
72,102,160,44.905,39335.07,20052.522222222222,7200,2310143,2768895,3424255,3506175,3702783,3866623
73,1515,162,44.971,39944.7,20325.017808219178,7300,2342911,2801663,3473407,3555327,3768319,3915775
74,105,161,45.922,40121.4,20592.536486486486,7400,2375679,2850815,3522559,3571711,3768319,3932159
75,5263,163,45.941,40941.06,20863.850133333333,7500,2408447,2883583,3571711,3653631,3850239,4014079
76,109,162,46.857,41802.27,21139.355657894735,7600,2441215,2932735,3604479,3735551,3932159,4112383
77,109,161,47.767,42497.01,21416.727792207792,7700,2473983,2965503,3653631,3784703,3997695,4177919
78,5555,163,47.785,42784.58,21690.674615384614,7800,2506751,3014655,3702783,3817471,4030463,4194303
79,110,162,48.691,43520.03,21966.995569620252,7900,2539519,3047423,3751935,3883007,4095999,4292607
80,4761,164,48.712,43711.08,22238.796625,8000,2572287,3080191,3784703,3899391,4112383,4292607
81,109,163,49.628,44266.71,22510.746172839506,8100,2605055,3112959,3833855,3948543,4161535,4358143
82,101,162,50.61,45136.51,22786.670121951218,8200,2637823,3162111,3883007,4014079,4259839,4423679
83,1388,163,50.682,45653.23,23062.170843373493,8300,2670591,3194879,3932159,4063231,4292607,4489215
84,1754,165,50.739,45719.14,23331.896666666667,8400,2703359,3227647,3981311,4079615,4325375,4489215
85,108,164,51.662,46029.71,23598.92976470588,8500,2736127,3276799,4014079,4095999,4325375,4521983
86,5000,166,51.682,46680.99,23867.32581395349,8600,2768895,3309567,4063231,4161535,4390911,4587519
87,110,165,52.584,46830.57,24131.271149425287,8700,2801663,3342335,4112383,4161535,4423679,4620287
88,108,164,53.507,47862.44,24400.943522727273,8800,2834431,3375103,4161535,4259839,4521983,4718591
89,5263,166,53.526,48526.08,24672.01247191011,8900,2867199,3424255,4227071,4325375,4587519,4784127
90,55,162,55.333,49382.54,24946.573888888888,9000,2899967,3457023,4259839,4390911,4653055,4849663
91,7142,164,55.347,50349.45,25225.726373626374,9100,2932735,3506175,4292607,4489215,4751359,4947967
92,108,163,56.272,50685.84,25502.466739130436,9200,2965503,3538943,4358143,4521983,4784127,4980735
93,1111,165,56.362,51327.79,25780.158387096773,9300,2998271,3588095,4390911,4587519,4849663,5046271
94,102,163,57.338,51515.16,26053.935,9400,3031039,3620863,4456447,4587519,4849663,5079039
95,104,162,58.297,52626.62,26333.64747368421,9500,3063807,3653631,4489215,4685823,4947967,5177343
96,109,162,59.211,53752.49,26619.260416666668,9600,3096575,3702783,4554751,4784127,5079039,5275647
97,110,161,60.116,54573.81,26907.451649484537,9700,3129343,3735551,4587519,4882431,5144575,5373951
98,10000,162,60.126,55128.6,27195.42255102041,9800,3162111,3768319,4653055,4915199,5210111,5406719
99,14285,164,60.133,55137.35,27477.664242424242,9900,3194879,3817471,4718591,4915199,5210111,5406719
100,109,163,61.05,55809.73,27760.9849,10000,3227647,3850239,4784127,4980735,5275647,5472255
101,5882,165,61.067,56068.95,28041.26178217822,10100,3260415,3883007,4849663,5013503,5275647,5505023
102,107,164,61.994,56682.19,28322.055196078432,10200,3293183,3932159,4882431,5046271,5341183,5570559
103,1162,165,62.08,57045.0,28600.918737864078,10300,3325951,3981311,4947967,5079039,5373951,5603327
104,102,164,63.057,57551.98,28879.29432692308,10400,3358719,4014079,4980735,5144575,5439487,5668863
105,1408,166,63.128,58099.7,29157.583904761905,10500,3391487,4046847,5046271,5177343,5472255,5701631
