Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,15,15,6.34,1161.42,1161.42,100,94207,104447,112639,94207,104447,112639
2,54,24,8.171,2783.73,1972.575,200,195583,233471,266239,233471,253951,270335
3,106,32,9.109,4477.96,2807.7033333333334,300,294911,368639,428031,395263,419839,438271
4,107,39,10.043,5573.65,3499.19,400,385023,438271,528383,491519,522239,548863
5,109,45,10.96,6581.83,4115.718,500,440319,518143,618495,581631,618495,647167
6,107,50,11.886,7321.46,4650.008333333333,600,501759,581631,679935,651263,688127,716799
7,3846,58,11.913,8130.78,5147.261428571429,700,552959,638975,749567,724991,765951,798719
8,108,62,12.836,8598.16,5578.62375,800,598015,688127,798719,765951,811007,843775
9,109,65,13.753,9157.53,5976.28,900,638975,724991,843775,815103,864255,901119
10,4545,72,13.781,9238.91,6302.543,1000,667647,761855,872447,823295,872447,909311
11,101,74,14.767,9672.73,6608.923636363636,1100,696319,786431,897023,856063,909311,950271
12,1250,80,14.847,10160.36,6904.876666666667,1200,724991,815103,925695,905215,958463,999423
13,102,82,15.823,11049.0,7223.655384615385,1300,757759,851967,983039,983039,1040383,1089535
14,103,83,16.792,11559.02,7533.324285714286,1400,782335,880639,1040383,1023999,1089535,1138687
15,103,84,17.761,12120.65,7839.146,1500,811007,917503,1089535,1073151,1138687,1187839
16,1282,89,17.84,12992.28,8161.216875,1600,843775,958463,1146879,1163263,1228799,1277951
17,102,90,18.821,13521.3,8476.515882352942,1700,872447,1003519,1204223,1204223,1269759,1327103
18,102,90,19.801,13996.37,8783.174444444445,1800,905215,1048575,1261567,1245183,1318911,1376255
19,1282,95,19.879,14908.62,9105.566315789474,1900,937983,1097727,1318911,1327103,1409023,1466367
20,98,95,20.895,15297.25,9415.1505,2000,974847,1138687,1359871,1359871,1441791,1499135
21,1587,100,20.958,15921.08,9724.956666666667,2100,1007615,1179647,1417215,1417215,1499135,1564671
22,104,100,21.918,16719.45,10042.888181818182,2200,1048575,1228799,1474559,1490943,1572863,1638399
23,102,100,22.889,17170.49,10352.783913043479,2300,1089535,1269759,1523711,1523711,1613823,1687551
24,1639,104,22.95,17794.16,10662.84125,2400,1122303,1310719,1581055,1589247,1679359,1744895
