Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,14,14,6.937,2107.12,2107.12,100,187391,198655,206847,187391,198655,206847
2,96,25,7.979,2309.38,2208.25,200,192511,204799,222207,196607,211967,225279
3,806,37,8.103,3235.32,2550.6066666666666,300,225279,272383,311295,288767,305151,317439
4,917,48,8.213,3354.1,2751.48,400,261119,294911,321535,299007,315391,329727
5,102,54,9.192,3685.17,2938.218,500,282623,311295,346111,325631,346111,362495
6,1492,64,9.26,3990.57,3113.61,600,299007,325631,372735,356351,376831,391167
7,1351,74,9.336,4067.78,3249.92,700,311295,342015,387071,362495,382975,399359
8,1515,85,9.403,4132.6,3360.255,800,319487,354303,393215,368639,389119,405503
9,1694,95,9.462,4194.53,3452.952222222222,900,327679,362495,399359,374783,395263,411647
10,103,95,10.428,4664.23,3574.08,1000,337919,374783,415743,409599,436223,456703
11,1754,104,10.485,5219.17,3723.6336363636365,1100,354303,391167,462847,464895,491519,511999
12,632,112,10.644,5323.19,3856.93,1200,366591,405503,491519,473087,501759,522239
13,840,120,10.763,5476.86,3981.54,1300,378879,428031,507903,487423,516095,540671
14,1538,129,10.828,5557.26,4094.0914285714284,1400,389119,446463,518143,495615,522239,544767
15,103,127,11.79,5877.59,4212.991333333333,1500,401407,462847,532479,522239,552959,577535
16,2857,135,11.825,6142.37,4333.5775,1600,415743,479231,552959,548863,577535,602111
17,2272,143,11.869,6181.35,4442.27,1700,430079,495615,569343,552959,581631,606207
18,2777,151,11.905,6226.69,4541.404444444444,1800,442367,505855,581631,557055,585727,610303
19,2702,159,11.942,6259.18,4631.813684210526,1900,454655,514047,589823,557055,589823,614399
20,2083,166,11.99,6299.69,4715.2075,2000,462847,522239,593919,561151,593919,618495
21,2325,174,12.033,6344.48,4792.791904761904,2100,473087,528383,602111,565247,598015,622591
22,2702,182,12.07,6387.4,4865.274090909091,2200,479231,536575,606207,569343,602111,626687
23,106,176,13.008,7163.51,4965.197391304348,2300,489471,548863,614399,638975,675839,704511
24,2702,183,13.045,7361.62,5065.048333333333,2400,501759,561151,634879,655359,692223,724991
25,2500,191,13.085,7399.22,5158.4152,2500,509951,573439,667647,659455,696319,729087
26,1960,197,13.136,7442.02,5246.246153846154,2600,518143,581631,684031,663551,700415,733183
27,2777,204,13.172,7489.48,5329.328888888889,2700,528383,589823,692223,667647,704511,737279
28,3571,212,13.201,7523.74,5407.700714285715,2800,532479,598015,700415,671743,708607,741375
29,3333,219,13.231,7551.33,5481.618965517241,2900,540671,606207,708607,675839,712703,741375
30,107,211,14.163,7806.94,5559.129666666667,3000,548863,614399,716799,692223,733183,765951
31,4347,218,14.186,8121.3,5641.780322580646,3100,557055,622591,724991,724991,765951,798719
32,4545,225,14.208,8142.8,5719.9371875,3200,565247,634879,733183,724991,765951,798719
33,5263,231,14.227,8162.75,5793.961818181818,3300,573439,647167,741375,729087,770047,802815
34,3846,238,14.254,8188.14,5864.378823529411,3400,581631,655359,749567,729087,770047,802815
35,3846,245,14.281,8213.68,5931.501714285714,3500,585727,663551,757759,733183,774143,806911
36,4166,251,14.305,8238.91,5995.596388888889,3600,593919,671743,765951,733183,778239,811007
37,3333,258,14.335,8265.05,6056.932972972973,3700,598015,679935,774143,737279,778239,811007
38,4166,264,14.359,8293.4,6115.787368421053,3800,606207,688127,778239,741375,782335,815103
39,3125,271,14.391,8318.75,6172.27358974359,3900,610303,692223,782335,741375,782335,819199
40,108,261,15.314,8634.9,6233.83925,4000,614399,696319,790527,761855,811007,847871
41,4166,267,15.338,9271.29,6307.923414634146,4100,622591,704511,798719,827391,872447,909311
42,4166,273,15.362,9295.59,6379.058333333333,4200,630783,712703,806911,827391,876543,913407
43,4166,279,15.386,9320.21,6447.457209302325,4300,638975,720895,819199,831487,876543,913407
44,3030,285,15.42,9347.28,6513.362272727272,4400,643071,724991,831487,835583,880639,917503
45,3703,291,15.447,9377.88,6577.018222222222,4500,651263,733183,847871,835583,884735,921599
46,3846,297,15.473,9405.94,6638.51652173913,4600,659455,741375,856063,839679,884735,925695
47,3571,303,15.501,9432.19,6697.956382978723,4700,667647,745471,868351,839679,888831,925695
48,4166,309,15.525,9459.87,6755.49625,4800,671743,753663,876543,843775,892927,929791
49,3448,315,15.554,9484.86,6811.197551020408,4900,679935,761855,884735,847871,892927,929791
50,107,303,16.486,9550.48,6865.9832,5000,684031,765951,888831,847871,897023,937983
51,4347,308,16.51,10059.19,6928.595098039215,5100,688127,774143,897023,897023,946175,987135
52,5555,314,16.528,10081.41,6989.2261538461535,5200,696319,782335,905215,901119,950271,991231
53,3703,320,16.555,10101.07,7047.940188679246,5300,700415,786431,913407,901119,950271,991231
54,7142,325,16.569,10122.73,7104.88074074074,5400,708607,794623,917503,901119,954367,995327
55,4545,331,16.591,10142.09,7160.102727272727,5500,712703,798719,921599,905215,954367,995327
56,3448,336,16.62,10167.08,7213.79875,5600,716799,806911,925695,905215,958463,999423
57,7692,342,16.633,10188.37,7265.984210526316,5700,724991,811007,933887,909311,958463,999423
58,4761,348,16.654,10206.38,7316.6806896551725,5800,724991,815103,937983,909311,962559,1003519
59,4761,353,16.675,10227.1,7366.009830508475,5900,733183,823295,946175,913407,962559,1003519
60,6666,359,16.69,10243.5,7413.968,6000,737279,827391,950271,913407,966655,1007615
61,7142,365,16.704,10258.35,7460.597213114754,6100,741375,835583,954367,913407,966655,1007615
62,5000,370,16.724,10274.35,7505.980322580645,6200,745471,839679,962559,917503,966655,1007615
63,5263,376,16.743,10294.7,7550.245714285715,6300,749567,843775,966655,917503,970751,1011711
64,108,362,17.663,11214.04,7607.4925,6400,753663,851967,974847,999423,1056767,1105919
65,5000,367,17.683,11235.24,7663.304,6500,761855,860159,983039,1003519,1056767,1105919
66,5555,372,17.701,11253.6,7717.702424242424,6600,765951,868351,991231,1003519,1064959,1105919
67,5263,378,17.721,11273.31,7770.77119402985,6700,774143,872447,995327,1003519,1064959,1105919
68,5000,383,17.742,11293.51,7822.5761764705885,6800,778239,880639,1003519,1007615,1064959,1114111
69,4761,388,17.763,11315.79,7873.202463768116,6900,782335,884735,1007615,1007615,1064959,1114111
70,5263,393,17.782,11333.79,7922.639428571429,7000,786431,892927,1015807,1011711,1073151,1114111
71,4545,398,17.804,11354.48,7970.975211267606,7100,790527,897023,1023999,1011711,1073151,1114111
72,4761,403,17.825,11376.09,8018.268472222222,7200,794623,901119,1036287,1015807,1073151,1122303
73,5263,409,17.845,11396.95,8064.551780821917,7300,802815,905215,1044479,1015807,1073151,1122303
74,4000,414,17.871,11419.6,8109.89027027027,7400,806911,909311,1048575,1019903,1081343,1122303
75,5263,419,17.89,11441.75,8154.315066666667,7500,811007,913407,1056767,1019903,1081343,1122303
76,108,403,18.813,11867.46,8203.172236842105,7600,815103,921599,1064959,1056767,1114111,1163263
77,5263,408,18.833,12384.85,8257.47974025974,7700,819199,925695,1081343,1105919,1171455,1220607
78,7692,413,18.846,12401.23,8310.604743589744,7800,827391,929791,1089535,1105919,1171455,1220607
79,7692,418,18.859,12413.85,8362.544556962026,7900,831487,937983,1097727,1105919,1171455,1220607
80,8333,423,18.872,12427.85,8413.360875,8000,835583,946175,1105919,1114111,1171455,1220607
81,6666,428,18.887,12440.44,8463.077901234568,8100,843775,950271,1105919,1114111,1171455,1220607
82,2857,433,18.923,12458.64,8511.804268292683,8200,847871,958463,1114111,1114111,1171455,1228799
83,4166,438,18.948,12503.44,8559.89626506024,8300,851967,962559,1122303,1114111,1179647,1228799
84,12500,443,18.956,12513.15,8606.958809523809,8400,860159,970751,1122303,1114111,1179647,1228799
85,14285,448,18.963,12520.35,8652.998705882354,8500,864255,974847,1130495,1122303,1179647,1228799
86,14285,453,18.97,12527.71,8698.053488372094,8600,868351,978943,1138687,1122303,1179647,1228799
87,16666,458,18.976,12534.45,8742.15,8700,872447,983039,1146879,1122303,1179647,1228799
88,111,442,19.876,13251.4,8793.391477272728,8800,876543,991231,1155071,1179647,1245183,1302527
89,5882,447,19.894,13445.97,8845.667640449437,8900,884735,995327,1171455,1204223,1269759,1318911
90,5555,451,19.912,13464.84,8896.991777777777,9000,888831,1003519,1179647,1204223,1269759,1327103
91,7692,456,19.925,13479.9,8947.353406593407,9100,892927,1007615,1187839,1204223,1269759,1327103
92,9090,461,19.936,13491.75,8996.74902173913,9200,897023,1015807,1196031,1204223,1269759,1327103
93,10000,466,19.946,13502.5,9045.197956989246,9300,905215,1019903,1204223,1204223,1269759,1327103
94,4166,470,19.97,13518.83,9092.789787234042,9400,909311,1028095,1212415,1204223,1277951,1327103
95,9090,475,19.982,13537.24,9139.573473684211,9500,913407,1036287,1220607,1212415,1277951,1327103
96,8333,480,19.994,13549.33,9185.5084375,9600,917503,1040383,1220607,1212415,1277951,1335295
97,10000,484,20.004,13560.63,9230.612783505154,9700,921599,1048575,1228799,1212415,1277951,1335295
98,124,471,20.806,13649.1,9275.699387755101,9800,925695,1056767,1236991,1212415,1286143,1343487
99,4166,475,20.83,14381.1,9327.26909090909,9900,929791,1064959,1245183,1286143,1359871,1417215
100,8333,479,20.843,14397.9,9377.9754,10000,937983,1073151,1253375,1286143,1359871,1417215
101,9090,484,20.854,14410.0,9427.797425742574,10100,942079,1081343,1261567,1286143,1359871,1417215
