Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,29,29,3.344,1047.62,1047.62,100,92671,98303,102911,92671,98303,102911
2,141,49,4.051,1507.46,1277.54,200,114175,132095,146431,132095,141311,148479
3,106,60,4.99,2054.24,1536.44,300,146431,172031,197631,182271,193535,201727
4,108,67,5.912,2326.91,1734.0575,400,165887,188415,217087,197631,214015,226303
5,54,64,7.734,4474.99,2282.244,500,218111,319487,417791,393215,417791,438271
6,2325,77,7.778,5000.31,2735.255,600,315391,393215,462847,442367,468991,489471
7,106,80,8.717,5862.15,3181.9542857142856,700,376831,438271,540671,520191,552959,577535
8,109,83,9.629,7013.49,3660.89625,800,425983,501759,638975,622591,659455,688127
9,108,85,10.548,7914.73,4133.544444444445,900,475135,573439,712703,704511,745471,778239
10,109,87,11.462,8538.97,4574.087,1000,532479,643071,778239,761855,802815,839679
11,107,88,12.394,9113.74,4986.782727272727,1100,577535,688127,827391,811007,856063,892927
12,106,89,13.334,9430.22,5357.069166666667,1200,622591,737279,868351,839679,884735,925695
13,3571,97,13.363,10298.94,5737.213076923077,1300,667647,778239,913407,917503,970751,1011711
14,108,97,14.287,10410.88,6071.046428571429,1400,696319,811007,954367,921599,974847,1019903
15,3030,104,14.32,11174.95,6411.306666666666,1500,737279,847871,999423,995327,1056767,1097727
16,107,104,15.252,12037.11,6762.919375,1600,770047,884735,1064959,1073151,1138687,1179647
17,5882,111,15.269,11975.42,7069.537058823529,1700,798719,921599,1097727,1073151,1130495,1179647
18,109,111,16.18,12728.3,7383.912777777778,1800,831487,962559,1146879,1138687,1196031,1253375
19,109,111,17.091,13366.71,7698.796842105263,1900,856063,995327,1187839,1187839,1261567,1310719
20,106,110,18.032,14517.55,8039.7345,2000,897023,1036287,1253375,1294335,1368063,1425407
21,102,110,19.003,14759.36,8359.716666666667,2100,925695,1081343,1310719,1310719,1384447,1449983
22,1428,115,19.074,15609.36,8689.245909090909,2200,962559,1130495,1376255,1392639,1474559,1531903
23,103,114,20.039,16151.05,9013.672173913043,2300,999423,1171455,1425407,1433599,1523711,1589247
24,100,114,21.031,16603.34,9329.908333333333,2400,1028095,1204223,1474559,1474559,1564671,1630207
25,1428,118,21.102,17502.66,9656.8184,2500,1073151,1261567,1531903,1564671,1646591,1720319
