Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,13,13,7.394,1.01097074086445E12,1.01097074086445E12,100,84662395338751,92358976733183,98406290685951,84662395338751,92358976733183,98406290685951
2,74,22,8.749,4.9794081434153E11,7.5445577760299E11,200,69544110456831,84662395338751,96757023244287,50027779063807,50027779063807,50027779063807
3,27,24,12.377,4896.29,5.0297052003409E11,300,65146063945727,76965813944319,95107755802623,423935,456703,479231
4,106,30,13.313,6218.36,3.7535113590065424E11,402,62122406969343,69544110456831,94008244174847,565247,598015,622591
5,6,17,28.652,16878.36,2.987943729106911E11,505,62122406969343,65146063945727,92358976733183,1466367,1597439,1695743
6,8,15,40.387,26992.21782178218,2.473625590359918E11,610,57449482551295,65146063945727,90709709291519,2326527,2490367,2637823
7,18,15,45.818,38937.34,2.1252276747280142E11,710,50027779063807,62122406969343,89060441849855,3588095,3784703,3948543
8,54,17,47.654,40713.41,1.8559799382168512E11,813,50027779063807,62122406969343,87960930222079,3620863,3833855,3997695
9,109,18,48.572,42111.71287128713,1.649083859973388E11,915,47004122087423,62122406969343,86311662780415,3784703,3997695,4128767
10,108,20,49.491,43307.486725663715,1.4663865647453644E11,1029,37933151158271,62122406969343,84662395338751,4390911,4587519,4816895
11,109,22,50.409,43970.52,1.334139539428382E11,1131,30236569763839,62122406969343,83013127897087,3915775,4177919,4358143
12,54,23,52.234,44792.30693069307,1.2237728012001703E11,1233,24189255811071,56075093016575,81913616269311,4030463,4259839,4456447
13,107,25,53.16,45780.84210526316,1.1202018630936006E11,1347,24189255811071,50027779063807,80264348827647,4718591,5013503,5242879
