Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,13,13,7.575,598.5049504950495,584.2376237623762,101,52223,56575,60671,54015,57087,75263
2,106,25,8.521,1569.7,1009.2429906542056,214,113151,136191,153599,138239,147455,155647
3,36,28,11.277,3547.28,1806.0316455696202,316,223231,282623,342015,309247,331775,350207
4,1612,36,11.34,4950.52,2555.7745803357316,417,319487,389119,475135,440319,464895,485375
5,54,39,13.162,5903.9,3203.3810444874275,517,393215,468991,585727,536575,593919,634879
6,3884,47,13.19,6618.558823529412,3679.657142857143,630,475135,561151,647167,606207,638975,659455
7,54,48,15.029,6996.3861386138615,4126.489740082079,731,511999,598015,667647,622591,659455,692223
8,1351,55,15.106,8353.12,4635.109506618532,831,561151,638975,786431,745471,786431,819199
9,99,57,16.117,9124.21,5117.290010741139,931,606207,684031,847871,811007,860159,897023
10,101,60,17.109,10057.08,5596.416100872939,1031,643071,757759,925695,897023,946175,987135
11,99,62,18.113,11034.75,6077.259062776304,1131,692223,819199,1003519,983039,1040383,1081343
12,52,61,20.018,12062.6,6563.476848090983,1231,749567,884735,1097727,1073151,1138687,1187839
13,100,63,21.019,13103.02,7054.802404207363,1331,802815,954367,1187839,1163263,1228799,1286143
14,100,64,22.017,14096.35,7546.874213836478,1431,860159,1023999,1269759,1253375,1327103,1384447
15,101,66,23.007,14996.5,8033.459830176355,1531,913407,1089535,1351679,1335295,1409023,1474559
16,100,67,24.004,16001.683168316831,8516.316789215687,1632,974847,1163263,1441791,1433599,1523711,1589247
17,98,69,25.016,16922.16,9001.64260969977,1732,1032191,1228799,1523711,1499135,1589247,1662975
