Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,0,0,54.443,1354.42,1354.42,50,54271,60927,65535,54271,60927,65535
2,1,1,81.525,2380.7,1867.56,100,93183,104959,114687,104959,112127,116735
3,1,1,108.443,2367.04,2034.0533333333333,150,99839,109055,116223,104447,111615,116223
4,1,1,135.265,2363.44,2116.4,200,101887,109055,116223,104447,111615,116223
5,1,1,162.001,2364.44,2166.008,250,101887,110079,116223,104447,111615,116223
6,1,1,188.657,2357.34,2197.8966666666665,300,102911,110079,116223,103935,111103,115711
7,1,1,215.386,2392.1,2225.64,350,103935,111103,116223,105471,112639,117247
8,1,1,242.11,2394.32,2246.725,400,104447,111103,116223,104959,112639,117759
