Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,13,13,7.27,1.5089125187038E11,1.5089125187038E11,100,15118284881919,15118284881919,15118284881919,15118284881919,15118284881919,15118284881919
2,105,25,8.227,2910.95,7.117512017987263E10,212,15118284881919,15118284881919,15118284881919,258047,276479,288767
3,107,34,9.16,3819.8,4.8208069840616615E10,315,15118284881919,15118284881919,15118284881919,346111,366591,382975
4,107,41,10.096,4754.450980392156,3.6098388361160286E10,418,15118284881919,15118284881919,15118284881919,440319,464895,485375
5,55,43,11.93,5955.891089108911,2.9017551788E10,520,15118284881919,15118284881919,15118284881919,528383,569343,598015
6,6375,52,11.946,6628.950980392156,2.4220108495638844E10,623,15118284881919,15118284881919,15118284881919,618495,659455,684031
7,107,56,12.884,6845.84,2.081259072740276E10,725,15118284881919,15118284881919,15118284881919,606207,643071,671743
8,100,59,13.884,8097.85,1.8289853438972122E10,825,15118284881919,15118284881919,15118284881919,720895,761855,794623
9,99,62,14.886,8980.73,1.6312572957E10,925,6047313952767,15118284881919,15118284881919,798719,843775,880639
10,99,64,15.904,9933.514851485148,1.4706755339423977E10,1026,4535485464575,15118284881919,15118284881919,892927,942079,983039
11,100,66,16.899,10916.6,1.3400650150896091E10,1126,1064959,15118284881919,15118284881919,970751,1028095,1073151
12,99,68,17.903,11923.2,1.2307612775064438E10,1226,1064959,15118284881919,15118284881919,1064959,1122303,1171455
13,100,70,18.901,12950.05,1.1379437825968327E10,1326,1097727,15118284881919,15118284881919,1155071,1220607,1269759
14,102,71,19.877,13910.41,1.0581441758958626E10,1426,1146879,15118284881919,15118284881919,1245183,1310719,1368063
15,101,73,20.863,14884.37,9.888032396272608E9,1526,1187839,15118284881919,15118284881919,1327103,1400831,1466367
16,52,71,22.765,15800.02,9.279913294412054E9,1626,1236991,15118284881919,15118284881919,1409023,1490943,1548287
17,1250,75,22.846,16762.12,8.74225996113905E9,1726,1286143,13606456393727,15118284881919,1499135,1581055,1646591
18,101,76,23.837,17677.70297029703,8.25897233752983E9,1827,1343487,6047313952767,15118284881919,1597439,1679359,1753087
