Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,713,713,28.019,1365.95625,1365.95625,20000,22806527,25034751,26869759,22806527,25034751,26869759
2,926,806,49.602,2361.07265,1863.51445,40000,38010879,42729471,46399487,42729471,45088767,46923775
3,921,841,71.304,2360.079,2029.0359666666666,60000,40370175,43778047,46661631,42729471,45088767,46923775
4,928,861,92.847,2374.6613,2115.4423,80000,41156607,44302335,46923775,42729471,45088767,47185919
5,934,875,114.243,2402.22215,2172.79827,100000,41680895,44564479,46923775,43515903,45875199,47710207
