Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,17,17,5.561,530.08,530.08,100,46591,49151,51199,46591,49151,51199
2,109,30,6.479,1436.88,983.48,200,109567,123391,138239,123391,131071,140287
3,3125,46,6.512,2161.56,1376.1733333333334,300,146431,180223,207871,191487,202751,211967
4,54,47,8.338,3230.38,1839.725,400,200703,240639,305151,280575,301055,315391
5,108,53,9.262,4402.98,2352.376,500,264191,319487,413695,389119,413695,432127
6,107,58,10.195,5556.4,2886.38,600,335871,413695,518143,495615,522239,544767
7,53,57,12.076,6751.24,3438.502857142857,700,405503,491519,618495,593919,630783,663551
8,101,61,13.068,7572.07,3955.19875,800,466943,557055,684031,667647,708607,741375
9,100,63,14.066,8430.65,4452.471111111111,900,528383,630783,753663,745471,790527,827391
10,100,66,15.059,9386.65,4945.889,1000,581631,688127,835583,827391,880639,921599
11,99,68,16.062,10342.19,5436.461818181818,1100,638975,749567,921599,913407,970751,1015807
12,98,70,17.074,11343.92,5928.75,1200,688127,819199,1003519,1003519,1064959,1114111
13,100,71,18.066,12387.78,6425.598461538461,1300,741375,884735,1097727,1097727,1163263,1220607
14,95,73,19.108,13383.67,6922.603571428572,1400,798719,954367,1187839,1187839,1261567,1310719
15,104,74,20.07,14364.83,7418.752,1500,851967,1019903,1269759,1277951,1351679,1409023
16,103,76,21.035,15230.88,7907.01,1600,909311,1097727,1351679,1351679,1433599,1499135
17,100,77,22.031,16204.39,8395.091176470589,1700,966655,1163263,1425407,1441791,1523711,1589247
18,99,78,23.034,17111.79,8879.352222222222,1800,1019903,1228799,1507327,1523711,1605631,1679359
19,99,79,24.042,17992.15,9358.973157894738,1900,1081343,1294335,1589247,1597439,1687551,1769471
20,100,79,25.041,18916.37,9836.843,2000,1138687,1359871,1662975,1679359,1777663,1859583
21,101,80,26.025,19903.81,10316.22238095238,2100,1196031,1425407,1744895,1769471,1867775,1949695
22,101,81,27.013,20801.44,10792.823181818181,2200,1245183,1482751,1826815,1851391,1957887,2039807
23,100,82,28.006,21757.16,11269.53347826087,2300,1302527,1556479,1908735,1933311,2047999,2146303
24,101,82,28.993,22637.76,11743.209583333333,2400,1359871,1613823,1982463,2015231,2129919,2228223
25,100,83,29.993,23575.83,12216.5144,2500,1409023,1679359,2064383,2097151,2228223,2310143
26,98,83,31.01,24575.32,12691.853076923077,2600,1466367,1744895,2146303,2195455,2310143,2408447
27,100,84,32.01,25462.54,13164.841481481482,2700,1523711,1810431,2228223,2260991,2392063,2506751
28,101,84,32.993,26410.54,13637.902142857143,2800,1572863,1875967,2310143,2359295,2490367,2588671
29,100,85,33.991,27357.46,14110.990344827585,2900,1630207,1941503,2392063,2441215,2572287,2686975
30,98,85,35.01,28541.15,14591.995666666666,3000,1679359,2007039,2473983,2539519,2686975,2801663
31,100,86,36.011,29438.42,15070.912580645161,3100,1736703,2080767,2555903,2621439,2768895,2899967
32,100,86,37.008,30403.05,15550.041875,3200,1785855,2146303,2654207,2703359,2867199,2981887
33,100,86,38.007,31517.19,16033.894848484848,3300,1851391,2211839,2736127,2818047,2965503,3096575
34,54,85,39.847,32486.97,16517.808823529413,3400,1908735,2277375,2818047,2883583,3063807,3194879
35,109,85,40.758,33484.09,17002.559714285715,3500,1966079,2359295,2899967,2981887,3145727,3293183
36,5263,88,40.778,34280.4,17482.499722222223,3600,2023423,2424831,2981887,3063807,3227647,3375103
37,55,86,42.591,35371.19,17965.97783783784,3700,2080767,2490367,3080191,3145727,3325951,3473407
38,107,87,43.52,36349.46,18449.753684210526,3800,2146303,2555903,3162111,3227647,3424255,3571711
39,6,65,59.749,43755.07,19098.60794871795,3900,2195455,2637823,3293183,3817471,4063231,4292607
40,12,58,67.87,55560.51,20010.1555,4000,2293759,2768895,3817471,4915199,5210111,5439487
41,18,55,73.287,64279.93,21089.906097560975,4100,2392063,2932735,4653055,5701631,6062079,6324223
42,27,54,76.902,67631.36,22198.035952380953,4200,2506751,3129343,5275647,6029311,6356991,6651903
43,106,55,77.838,70348.41,23317.812093023254,4300,2621439,3358719,5701631,6258687,6619135,6914047
44,36,54,80.552,72129.51,24427.168863636365,4400,2752511,3735551,6062079,6422527,6782975,7077887
45,109,55,81.467,74294.79,25535.33822222222,4500,2899967,4145151,6291455,6619135,7012351,7307263
46,55,55,83.283,75628.54,26624.320869565217,4600,3047423,4521983,6488063,6750207,7110655,7438335
47,54,55,85.117,73819.69,27628.47765957447,4700,3211263,4784127,6619135,6586367,6946815,7241727
48,27,54,88.717,76099.86,28638.298125,4800,3391487,5046271,6750207,6782975,7176191,7471103
49,55,54,90.534,79131.09,29668.763265306123,4900,3620863,5275647,6881279,7045119,7438335,7766015
50,55,54,92.344,81066.92,30696.7264,5000,3866623,5439487,7012351,7208959,7634943,7962623
51,54,54,94.165,83262.01,31727.418235294117,5100,4095999,5636095,7143423,7405567,7831551,8159231
52,55,54,95.978,84569.98,32743.621346153846,5200,4325375,5832703,7274495,7536639,7962623,8290303
53,110,54,96.886,86064.2,33749.67,5300,4521983,5996543,7405567,7667711,8093695,8454143
54,109,55,97.8,87036.21,34736.45777777778,5400,4718591,6094847,7536639,7766015,8191999,8585215
55,36,54,100.532,87754.72,35700.426181818184,5500,4882431,6258687,7700479,7798783,8257535,8650751
56,36,54,103.25,90017.07,36670.36625,5600,5046271,6356991,7831551,8028159,8454143,8847359
57,36,53,105.969,92974.32,37658.154912280705,5700,5177343,6488063,7995391,8290303,8781823,9109503
58,55,53,107.779,95208.33,38650.39931034483,5800,5341183,6619135,8126463,8519679,8978431,9371647
59,109,54,108.69,96951.36,39638.55118644068,5900,5472255,6750207,8290303,8650751,9175039,9502719
60,55,54,110.5,98213.7,40614.80366666667,6000,5603327,6848511,8454143,8781823,9240575,9633791
61,9090,55,110.511,99185.72,41574.98262295082,6100,5734399,6979583,8585215,8847359,9371647,9764863
62,110,55,111.421,99790.74,42513.9464516129,6200,5832703,7077887,8716287,8912895,9437183,9830399
63,54,55,113.251,100899.29,43440.69793650794,6300,5963775,7176191,8847359,8978431,9502719,9895935
64,104,56,114.205,101251.96,44343.99890625,6400,6094847,7274495,8978431,9043967,9568255,9961471
65,54,56,116.048,102150.43,45233.32861538461,6500,6193151,7372799,9109503,9109503,9633791,10027007
66,36,55,118.759,104382.65,46129.53045454546,6600,6291455,7503871,9240575,9306111,9830399,10289151
67,36,55,121.474,107704.57,47048.56089552239,6700,6356991,7602175,9371647,9633791,10158079,10616831
68,55,55,123.286,110208.83,47977.38838235294,6800,6488063,7700479,9437183,9830399,10420223,10813439
69,36,54,126.0,112576.05,48913.60086956522,6900,6586367,7831551,9633791,10027007,10616831,11075583
70,55,54,127.812,114442.1,49849.722285714284,7000,6651903,7962623,9764863,10223615,10813439,11272191
71,108,55,128.733,115800.48,50778.6061971831,7100,6782975,8093695,9830399,10354687,10944511,11403263
72,110,55,129.646,116882.81,51696.720138888886,7200,6848511,8191999,10027007,10420223,11010047,11468799
73,2631,56,129.684,116950.75,52590.61095890411,7300,6946815,8290303,10158079,10420223,11010047,11468799
74,103,56,130.646,117140.69,53462.909324324326,7400,7045119,8388607,10354687,10485759,11075583,11534335
75,55,56,132.461,118420.38,54329.00893333333,7500,7143423,8519679,10420223,10551295,11141119,11665407
76,36,56,135.183,120048.09,55193.73368421053,7600,7208959,8585215,10551295,10682367,11337727,11796479
77,55,56,136.997,122187.05,56063.776753246755,7700,7307263,8716287,10682367,10878975,11534335,11993087
78,27,55,140.611,124993.55,56947.49179487179,7800,7405567,8847359,10813439,11141119,11796479,12255231
79,55,55,142.425,128242.63,57849.961898734175,7900,7503871,8978431,11010047,11468799,12058623,12582911
80,109,55,143.338,129387.23,58744.17775,8000,7602175,9043967,11141119,11534335,12189695,12713983
