Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,16,16,5.895,238.79,238.79,100,23807,23935,23935,23807,23935,23935
2,94,28,6.95,1.50891082999E10,7.544554269345E9,200,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191
3,91,37,8.039,1.508910881419E10,1.0025985831521595E10,301,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191
4,96,44,9.074,1.50891093003E10,1.1288610137950125E10,401,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191
5,96,49,10.108,1.50891097382E10,1.2047192892491018E10,501,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191
6,97,53,11.135,1.508911022853E10,1.2553335544078203E10,601,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191
7,96,57,12.172,1.508911064752E10,1.291507236339943E10,701,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191
8,98,60,13.192,3487.47,1.1302704214094881E10,801,1511828488191,1511828488191,1511828488191,311295,327679,342015
9,97,63,14.215,1.508911152853E10,1.1722949199048834E10,901,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191
