Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,11,11,8.903,1.5089123109353E11,1.4939725850844556E11,101,15118284881919,15118284881919,15118284881919,15118284881919,15118284881919,15118284881919
2,54,19,10.752,3128.88,7.01819694057721E10,215,15118284881919,15118284881919,15118284881919,278527,299007,313343
3,105,27,11.701,4626.764705882353,4.71535121364E10,320,15118284881919,15118284881919,15118284881919,436223,456703,0
3,105,27,11.701,5258.0,4.7006616459962616E10,321,15118284881919,15118284881919,15118284881919,5279,5279,5279
4,54,31,13.548,6377.6732673267325,3.5337528151833725E10,427,15118284881919,15118284881919,15118284881919,610303,651263,0
5,6666,39,13.565,7020.3,2.8416431681474575E10,531,15118284881919,15118284881919,15118284881919,651263,0,0
6,110,43,14.475,8039.74,2.391303649261014E10,631,15118284881919,15118284881919,15118284881919,749567,790527,823295
7,59,45,16.318,8661.872727272726,2.025386159272483E10,745,15118284881919,15118284881919,15118284881919,888831,937983,0
8,108,49,17.237,9418.63,1.7835848496977543E10,846,15118284881919,15118284881919,15118284881919,831487,884735,921599
9,103,51,18.207,10339.87,1.595045334294926E10,946,15118284881919,15118284881919,15118284881919,913407,970751,1015807
10,99,54,19.212,11322.86,1.4411776499251194E10,1047,12094627905535,15118284881919,15118284881919,1015807,1073151,1122303
11,101,56,20.212,12355.168316831683,1.3143842534615854E10,1148,6047313952767,15118284881919,15118284881919,1114111,1171455,1228799
12,99,58,21.219,13340.77,1.2080970827714972E10,1249,1294335,15118284881919,15118284881919,1187839,1253375,1310719
13,100,60,22.217,14332.76,1.1185421791765753E10,1349,1286143,15118284881919,15118284881919,1277951,1351679,1409023
14,99,62,23.222,15232.3,1.0413482070615597E10,1449,1310719,15118284881919,15118284881919,1351679,1433599,1499135
15,100,63,24.219,16243.17,9.741211842891542E9,1549,1351679,15118284881919,15118284881919,1441791,1531903,1597439
16,101,65,25.202,17177.67,9.150478388360218E9,1649,1392639,15118284881919,15118284881919,1531903,1613823,1687551
