Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,0,0,67.974,1.16,1.16,50,52,57,57,52,57,57
2,0,0,128.906,0.4,0.78,100,50,52,57,18,19,20
3,0,0,187.283,0.48,0.68,150,44,51,57,23,23,24
4,0,0,244.53,0.44,0.62,200,32,50,57,21,22,22
5,0,0,302.836,0.64,0.624,250,29,48,57,26,30,32
6,0,0,359.055,0.44,0.5933333333333334,300,26,44,56,20,21,22
7,0,0,416.315,0.38,0.5628571428571428,350,24,35,56,18,19,19
8,0,0,472.511,0.5,0.555,400,23,32,52,18,20,24
9,0,0,529.789,0.44,0.5422222222222223,450,23,31,52,19,20,21
10,0,0,588.184,0.36,0.524,500,23,29,52,14,16,17
11,0,0,644.406,0.42,0.5145454545454545,550,22,28,52,19,20,20
12,0,0,700.533,0.4,0.505,600,21,26,51,18,19,20
13,0,0,757.871,0.22,0.48307692307692307,650,21,26,51,10,11,11
14,0,0,815.117,0.36,0.4742857142857143,700,20,24,51,15,17,17
15,0,0,873.518,0.42,0.4706666666666667,750,20,24,51,19,20,21
16,0,0,930.846,0.32,0.46125,800,20,23,51,14,15,16
