Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,13,13,7.409,5.7338634459443E11,5.7338634459443E11,100,43980465111039,48378511622143,54425825574911,43980465111039,48378511622143,54425825574911
2,115,24,8.279,8.148121747541E11,6.94099259674265E11,200,69544110456831,69544110456831,76965813944319,69544110456831,72567767433215,78615081385983
3,28,25,11.802,1.2071291803114E11,5.0297047912655664E11,300,69544110456831,69544110456831,75866302316543,12094627905535,12094627905535,12094627905535
