Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,26,26,3.722,364.74,364.74,100,35327,36351,0,35327,36351,0
2,96,41,4.763,1.508910796685E10,7.544554165795E9,200,1511828488191,1511828488191,0,1511828488191,1511828488191,1511828488191
3,96,51,5.802,1.50891084522E10,1.0025985642455149E10,301,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191
4,97,58,6.826,1.508910891604E10,1.1288609900206982E10,401,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191
5,96,63,7.866,1.508910934774E10,1.2023194232583666E10,502,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191
6,96,67,8.904,1.508910984992E10,1.2532482541111296E10,602,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191
7,97,70,9.932,1.508911026579E10,1.2896674524683762E10,702,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191,1511828488191
8,96,73,10.974,3504.83,1.1288610806497507E10,802,1511828488191,1511828488191,1511828488191,311295,329727,344063
