Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,12,12,8.036,1.659802464874E11,1.6272573185039215E11,102,16630113370111,16630113370111,16630113370111,16630113370111,16630113370111,16630113370111
2,106,22,8.977,1.2071290777163E11,1.3917143410632526E11,206,12094627905535,16630113370111,16630113370111,12094627905535,12094627905535,12094627905535
3,76,30,10.282,1.8106936184255E11,1.5137945504905502E11,309,12094627905535,16630113370111,16630113370111,12094627905535,12094627905535,15118284881919
4,67,34,11.766,1.8106936344248E11,1.586386013555159E11,409,16630113370111,18141941858303,18141941858303,18141941858303,18141941858303,18141941858303
5,108,41,12.696,1.207129114332E11,1.4657996018614478E11,525,16630113370111,18141941858303,18141941858303,9070970929151,12094627905535,12094627905535
6,106,46,13.643,1.3580202562639E11,1.412397529802886E11,641,16630113370111,18141941858303,18141941858303,12094627905535,13606456393727,13606456393727
7,105,50,14.592,1.077793877898125E11,1.359019509967894E11,755,13606456393727,18141941858303,18141941858303,12094627905535,12094627905535,12094627905535
8,100,55,15.594,1.3580202721495E11,1.3525748047039697E11,859,13606456393727,18141941858303,18141941858303,13606456393727,13606456393727,13606456393727
9,99,57,16.601,1.3580202801743E11,1.3531426332201668E11,959,13606456393727,16630113370111,18141941858303,4535485464575,12094627905535,13606456393727
10,148,61,17.273,9.053468906926E10,1.3108578605546742E11,1059,12094627905535,16630113370111,18141941858303,839679,884735,6047313952767
11,222,65,17.723,6.03564634407E10,1.2498316978154443E11,1159,12094627905535,16630113370111,18141941858303,4535485464575,4535485464575,4535485464575
12,53,64,19.595,6.035646437372E10,1.1984999222730898E11,1259,12094627905535,16630113370111,18141941858303,6047313952767,6047313952767,6047313952767
13,101,66,20.585,12311.38,1.110310091577042E11,1359,12094627905535,13606456393727,18141941858303,1089535,1155071,1212415
14,98,67,21.601,13287.53,1.034209340466573E11,1459,12094627905535,13606456393727,18141941858303,1179647,1245183,1302527
15,101,69,22.59,14290.58,9.67871354734644E10,1559,12094627905535,13606456393727,18141941858303,1269759,1343487,1400831
16,99,70,23.601,15145.55,9.095307155978662E10,1659,12094627905535,13606456393727,18141941858303,1343487,1425407,1482751
17,98,71,24.613,16198.21,8.578234641131723E10,1759,12094627905535,13606456393727,18141941858303,1441791,1523711,1589247
