Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,3,3,15.408,715.88,715.88,50,29055,32383,34815,29055,32383,34815
2,4,3,26.312,1580.28,1148.08,100,57855,67071,75263,67071,73215,77311
3,4,4,37.178,2326.22,1540.7933333333333,150,77823,97279,111615,101887,109567,114175
4,4,4,48.017,2363.92,1746.575,200,92671,104447,113663,104447,111615,116223
5,4,4,58.843,2360.52,1869.364,250,97279,106495,114175,103935,111103,115711
6,4,4,69.676,2361.0,1951.3033333333333,300,99327,107007,114175,103935,111103,115711
7,4,4,80.461,2451.2,2022.7171428571428,350,101375,109055,115711,108543,115711,120319
8,4,4,91.182,2376.76,2066.9725,400,101887,109567,115711,104959,112127,116735
9,4,4,101.897,2367.3,2100.342222222222,450,101887,109567,116223,104447,111615,116223
10,4,4,112.62,2354.72,2125.78,500,101887,109567,115711,103935,111103,115711
11,4,4,123.339,2362.92,2147.338181818182,550,102399,111103,116223,104447,111103,116223
12,4,4,134.02,2360.44,2165.096666666667,600,103423,111103,115711,103935,111103,115711
