Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,10,10,9.463,9.053467833E10,9.053467833E10,100,9070970929151,9070970929151,9070970929151,9070970929151,9070970929151,9070970929151
2,53,19,11.324,1.3580201831883E11,1.0382417277469266E11,218,9070970929151,9070970929151,13606456393727,6047313952767,12094627905535,13606456393727
3,2222,28,11.373,3392.25,7.00732817464644E10,323,9070970929151,9070970929151,13606456393727,307199,325631,339967
4,106,34,12.312,6.035645573131E10,6.745721312291529E10,425,9070970929151,9070970929151,13606456393727,6047313952767,6047313952767,6047313952767
5,104,39,13.269,6.035645633525E10,6.560484160824953E10,529,9070970929151,9070970929151,13606456393727,6047313952767,6047313952767,6047313952767
6,99,44,14.279,6.035645711033E10,6.466763003459841E10,630,9070970929151,9070970929151,13606456393727,6047313952767,6047313952767,6047313952767
7,99,47,15.284,7.544557085792E10,6.6053575933774284E10,731,9070970929151,9070970929151,13606456393727,7559142440959,7559142440959,7559142440959
8,97,50,16.313,6.035645871036E10,6.53680022606799E10,831,9070970929151,9070970929151,13606456393727,6047313952767,6047313952767,6047313952767
9,100,53,17.307,7.544557232156E10,6.645044802446939E10,931,7559142440959,9070970929151,12094627905535,7559142440959,7559142440959,7559142440959
10,99,56,18.317,6.035646020892E10,6.58593725816421E10,1031,7559142440959,9070970929151,10582799417343,6047313952767,6047313952767,6047313952767
11,96,58,19.349,7.544557399761E10,6.670695891373475E10,1131,7559142440959,9070970929151,9070970929151,7559142440959,7559142440959,7559142440959
12,99,60,20.358,6.035646197891E10,6.619107776549553E10,1231,7559142440959,9070970929151,9070970929151,6047313952767,6047313952767,6047313952767
13,97,62,21.379,7.544557582672E10,6.688638190232682E10,1331,7559142440959,9070970929151,9070970929151,7559142440959,7559142440959,7559142440959
14,99,63,22.381,6.035646385873E10,6.64300633807617E10,1431,7559142440959,9070970929151,9070970929151,6047313952767,6047313952767,6047313952767
15,99,65,23.386,7.54455776736E10,6.7018927802240364E10,1531,7559142440959,9070970929151,9070970929151,7559142440959,7559142440959,7559142440959
16,99,66,24.39,6.035646565417E10,6.661043840015144E10,1631,7559142440959,9070970929151,9070970929151,6047313952767,6047313952767,6047313952767
